"network_id";"node_from";"node_to";"link_type";"original_id"
"M22_1";"M22_node_1973";"M22_node_520";"frugivory";NA
"M22_1";"M22_node_2394";"M22_node_520";"frugivory";NA
"M22_1";"M22_node_2514";"M22_node_520";"frugivory";NA
"M22_1";"M22_node_1079";"M22_node_520";"frugivory";NA
"M22_1";"M22_node_260";"M22_node_520";"frugivory";NA
"M22_1";"M22_node_293";"M22_node_520";"frugivory";NA
"M22_1";"M22_node_160";"M22_node_520";"frugivory";NA
"M22_1";"M22_node_1376";"M22_node_520";"frugivory";NA
"M22_1";"M22_node_947";"M22_node_520";"frugivory";NA
"M22_1";"M22_node_468";"M22_node_520";"frugivory";NA
"M22_1";"M22_node_1763";"M22_node_520";"frugivory";NA
"M22_1";"M22_node_2455";"M22_node_520";"frugivory";NA
"M22_1";"M22_node_2394";"M22_node_319";"frugivory";NA
"M22_1";"M22_node_2514";"M22_node_319";"frugivory";NA
"M22_1";"M22_node_1079";"M22_node_319";"frugivory";NA
"M22_1";"M22_node_260";"M22_node_319";"frugivory";NA
"M22_1";"M22_node_293";"M22_node_319";"frugivory";NA
"M22_1";"M22_node_160";"M22_node_319";"frugivory";NA
"M22_1";"M22_node_1376";"M22_node_319";"frugivory";NA
"M22_1";"M22_node_194";"M22_node_319";"frugivory";NA
"M22_1";"M22_node_2209";"M22_node_319";"frugivory";NA
"M22_1";"M22_node_774";"M22_node_319";"frugivory";NA
"M22_1";"M22_node_2514";"M22_node_2336";"frugivory";NA
"M22_1";"M22_node_1079";"M22_node_2336";"frugivory";NA
"M22_1";"M22_node_2109";"M22_node_2336";"frugivory";NA
"M22_1";"M22_node_1815";"M22_node_2336";"frugivory";NA
"M22_1";"M22_node_160";"M22_node_2336";"frugivory";NA
"M22_1";"M22_node_676";"M22_node_2336";"frugivory";NA
"M22_1";"M22_node_1376";"M22_node_2336";"frugivory";NA
"M22_1";"M22_node_1228";"M22_node_2336";"frugivory";NA
"M22_1";"M22_node_1131";"M22_node_2336";"frugivory";NA
"M22_1";"M22_node_468";"M22_node_2336";"frugivory";NA
"M22_1";"M22_node_2394";"M22_node_1138";"frugivory";NA
"M22_1";"M22_node_2514";"M22_node_1138";"frugivory";NA
"M22_1";"M22_node_260";"M22_node_1138";"frugivory";NA
"M22_1";"M22_node_293";"M22_node_1138";"frugivory";NA
"M22_1";"M22_node_2507";"M22_node_1138";"frugivory";NA
"M22_1";"M22_node_2514";"M22_node_2143";"frugivory";NA
"M22_1";"M22_node_260";"M22_node_2143";"frugivory";NA
"M22_1";"M22_node_1376";"M22_node_2143";"frugivory";NA
"M22_1";"M22_node_2514";"M22_node_1156";"frugivory";NA
"M22_1";"M22_node_1079";"M22_node_1156";"frugivory";NA
"M22_1";"M22_node_260";"M22_node_1156";"frugivory";NA
"M22_2";"M22_node_1963";"M22_node_930";"frugivory";NA
"M22_2";"M22_node_2448";"M22_node_930";"frugivory";NA
"M22_2";"M22_node_2416";"M22_node_930";"frugivory";NA
"M22_2";"M22_node_1207";"M22_node_930";"frugivory";NA
"M22_2";"M22_node_1963";"M22_node_315";"frugivory";NA
"M22_2";"M22_node_2184";"M22_node_315";"frugivory";NA
"M22_2";"M22_node_2448";"M22_node_315";"frugivory";NA
"M22_2";"M22_node_2405";"M22_node_315";"frugivory";NA
"M22_2";"M22_node_1641";"M22_node_315";"frugivory";NA
"M22_2";"M22_node_465";"M22_node_315";"frugivory";NA
"M22_2";"M22_node_782";"M22_node_315";"frugivory";NA
"M22_2";"M22_node_1207";"M22_node_315";"frugivory";NA
"M22_2";"M22_node_1239";"M22_node_315";"frugivory";NA
"M22_2";"M22_node_2325";"M22_node_315";"frugivory";NA
"M22_2";"M22_node_2184";"M22_node_641";"frugivory";NA
"M22_2";"M22_node_2448";"M22_node_641";"frugivory";NA
"M22_2";"M22_node_2405";"M22_node_641";"frugivory";NA
"M22_2";"M22_node_1641";"M22_node_641";"frugivory";NA
"M22_2";"M22_node_1963";"M22_node_1335";"frugivory";NA
"M22_2";"M22_node_2184";"M22_node_1335";"frugivory";NA
"M22_2";"M22_node_465";"M22_node_1335";"frugivory";NA
"M22_2";"M22_node_1207";"M22_node_1335";"frugivory";NA
"M22_2";"M22_node_1963";"M22_node_573";"frugivory";NA
"M22_2";"M22_node_2448";"M22_node_573";"frugivory";NA
"M22_2";"M22_node_2405";"M22_node_573";"frugivory";NA
"M22_2";"M22_node_465";"M22_node_573";"frugivory";NA
"M22_2";"M22_node_2416";"M22_node_573";"frugivory";NA
"M22_2";"M22_node_1024";"M22_node_573";"frugivory";NA
"M22_2";"M22_node_1393";"M22_node_573";"frugivory";NA
"M22_2";"M22_node_1963";"M22_node_40";"frugivory";NA
"M22_2";"M22_node_2448";"M22_node_40";"frugivory";NA
"M22_2";"M22_node_2506";"M22_node_40";"frugivory";NA
"M22_2";"M22_node_1963";"M22_node_224";"frugivory";NA
"M22_2";"M22_node_2184";"M22_node_224";"frugivory";NA
"M22_2";"M22_node_2448";"M22_node_224";"frugivory";NA
"M22_2";"M22_node_1641";"M22_node_224";"frugivory";NA
"M22_2";"M22_node_2448";"M22_node_445";"frugivory";NA
"M22_2";"M22_node_1963";"M22_node_976";"frugivory";NA
"M22_2";"M22_node_2184";"M22_node_976";"frugivory";NA
"M22_2";"M22_node_2405";"M22_node_976";"frugivory";NA
"M22_2";"M22_node_1024";"M22_node_976";"frugivory";NA
"M22_2";"M22_node_1963";"M22_node_276";"frugivory";NA
"M22_2";"M22_node_2448";"M22_node_276";"frugivory";NA
"M22_2";"M22_node_1641";"M22_node_276";"frugivory";NA
"M22_2";"M22_node_2416";"M22_node_276";"frugivory";NA
"M22_2";"M22_node_1641";"M22_node_1527";"frugivory";NA
"M22_2";"M22_node_1963";"M22_node_1257";"frugivory";NA
"M22_2";"M22_node_1963";"M22_node_1913";"frugivory";NA
"M22_2";"M22_node_2184";"M22_node_1913";"frugivory";NA
"M22_2";"M22_node_1963";"M22_node_1057";"frugivory";NA
"M22_2";"M22_node_2184";"M22_node_1057";"frugivory";NA
"M22_2";"M22_node_2184";"M22_node_1475";"frugivory";NA
"M22_2";"M22_node_2448";"M22_node_1475";"frugivory";NA
"M22_2";"M22_node_1963";"M22_node_91";"frugivory";NA
"M22_2";"M22_node_2184";"M22_node_621";"frugivory";NA
"M22_2";"M22_node_1024";"M22_node_1059";"frugivory";NA
