"network_id";"original_id";"network_db";"network_interaction";"main_animal_taxa";"network_year";"network_lat";"network_lon";"habitat_type";"network_topology_type";"network_spatial_type"
"TI1";"Aldryhim1985";"TI22";"herbivory";"Hemiptera";1995;24;46;NA;"bipartite";"Point"
"TI2";"Brehm2003";"TI22";"herbivory";"Lepidoptera";2000;-3,97;-79,08;NA;"bipartite";"Point"
"TI3";"Brown2019";"TI22";"herbivory";"Lepidoptera";2015;14;99,7;NA;"bipartite";"Point"
"TI4";"Hackett2019_HH";"TI22";"herbivory";"Insects";2013;50,72;-1,75;NA;"bipartite";"Point"
"TI5";"Hackett2019_TP";"TI22";"herbivory";"Insects";2015;-46,59;169,43;NA;"bipartite";"Point"
"TI6";"Ibanez2013";"TI22";"herbivory";"Orthoptera";2011;45,03;6,4;NA;"bipartite";"Point"
"TI7";"Idechil2007";"TI22";"herbivory";"Hemiptera";2004;7,5;134,5;NA;"bipartite";"Point"
"TI8";"Joern1985";"TI22";"herbivory";"Orthoptera";1985;41,578544;-101,707547;NA;"bipartite";"Point"
"TI9";"Knuff2019";"TI22";"herbivory";"Insects";2017;47,998955;8,205064;NA;"bipartite";"Point"
"TI10";"Konig2022";"TI22";"herbivory";"Orthoptera";2019;47,592457;12,940233;NA;"bipartite";"Point"
"TI11";"Macfadyen_A1";"TI22";"herbivory";"Insects";2006;51,4;-2,69;NA;"bipartite";"Point"
"TI12";"Macfadyen_A10";"TI22";"herbivory";"Insects";2006;51;-2,49;NA;"bipartite";"Point"
"TI13";"Macfadyen_A2";"TI22";"herbivory";"Insects";2006;51,55;-2,49;NA;"bipartite";"Point"
"TI14";"Macfadyen_A3";"TI22";"herbivory";"Insects";2006;51,51;-2,42;NA;"bipartite";"Point"
"TI15";"Macfadyen_A4";"TI22";"herbivory";"Insects";2006;51,52;-2,49;NA;"bipartite";"Point"
"TI16";"Macfadyen_A5";"TI22";"herbivory";"Insects";2006;51,51;-2,5;NA;"bipartite";"Point"
"TI17";"Macfadyen_A6";"TI22";"herbivory";"Insects";2006;51,52;-2,48;NA;"bipartite";"Point"
"TI18";"Macfadyen_A7";"TI22";"herbivory";"Insects";2006;51,32;-2,35;NA;"bipartite";"Point"
"TI19";"Macfadyen_A8";"TI22";"herbivory";"Insects";2006;51,36;-2,47;NA;"bipartite";"Point"
"TI20";"Macfadyen_A9";"TI22";"herbivory";"Insects";2006;51,32;-2,34;NA;"bipartite";"Point"
"TI21";"Macfadyen_B1";"TI22";"herbivory";"Insects";2006;5,421563;-2,6801987;NA;"bipartite";"Point"
"TI22";"Macfadyen_B10";"TI22";"herbivory";"Insects";2006;51,142195;-2,2890993;NA;"bipartite";"Point"
"TI23";"Macfadyen_B2";"TI22";"herbivory";"Insects";2006;51,291623;-2,6028854;NA;"bipartite";"Point"
"TI24";"Macfadyen_B3";"TI22";"herbivory";"Insects";2006;51,29728;-2,4066504;NA;"bipartite";"Point"
"TI25";"Macfadyen_B4";"TI22";"herbivory";"Insects";2006;51,126799;-2,3271997;NA;"bipartite";"Point"
"TI26";"Macfadyen_B5";"TI22";"herbivory";"Insects";2006;51,069394;-2,4322512;NA;"bipartite";"Point"
"TI27";"Macfadyen_B6";"TI22";"herbivory";"Insects";2006;51,614902;-2,3436984;NA;"bipartite";"Point"
"TI28";"Macfadyen_B7";"TI22";"herbivory";"Insects";2006;51,694362;-2,1084028;NA;"bipartite";"Point"
"TI29";"Macfadyen_B8";"TI22";"herbivory";"Insects";2006;51,638776;-2,1769368;NA;"bipartite";"Point"
"TI30";"Macfadyen_B9";"TI22";"herbivory";"Insects";2006;51,685258;-2,0148078;NA;"bipartite";"Point"
"TI31";"Masetti2004_A";"TI22";"herbivory";"Diptera";1999;44,16;12,22;NA;"bipartite";"Point"
"TI32";"Masetti2004_B";"TI22";"herbivory";"Diptera";1999;45;12;NA;"bipartite";"Point"
"TI33";"Masetti2004_C";"TI22";"herbivory";"Diptera";1999;45;12;NA;"bipartite";"Point"
"TI34";"Peralta2017";"TI22";"herbivory";"Insects";2011;-41,49228;173,022973;NA;"bipartite";"Point"
"TI35";"Pitteloud2020_B1";"TI22";"herbivory";"Orthoptera";2016;46,25788;7,02235;NA;"bipartite";"Point"
"TI36";"Pitteloud2020_B2";"TI22";"herbivory";"Orthoptera";2016;46,26914;7,03241;NA;"bipartite";"Point"
"TI37";"Pitteloud2020_B3";"TI22";"herbivory";"Orthoptera";2016;46,27424;7,04833;NA;"bipartite";"Point"
