"node_id";"taxonomy_name";"taxonomy_rank"
"FS20_node_1";"Abrahamia thouvenotii";"species"
"FS20_node_2";"Abrahamia turkii";"species"
"FS20_node_3";"Aburria cujubi";"species"
"FS20_node_4";"Aburria cumanensis";"species"
"FS20_node_5";"Aburria jacutinga";"species"
"FS20_node_6";"Abuta grandifolia";"species"
"FS20_node_7";"Abuta imene";"species"
"FS20_node_8";"Abuta selloana";"species"
"FS20_node_9";"Acacia auriculiformis";"species"
"FS20_node_10";"Acacia cyclops";"species"
"FS20_node_11";"Acacia mangium";"species"
"FS20_node_12";"Acacia melanoxylon";"species"
"FS20_node_13";"Acacia nilotica";"species"
"FS20_node_14";"Acanthisitta chloris";"species"
"FS20_node_15";"Aceratium megalospermum";"species"
"FS20_node_16";"Aceros corrugatus";"species"
"FS20_node_17";"Aceros waldeni";"species"
"FS20_node_18";"Achatocarpus nigricans";"species"
"FS20_node_19";"Acnistus arborescens";"species"
"FS20_node_20";"Acridotheres cristatellus";"species"
"FS20_node_21";"Acridotheres fuscus";"species"
"FS20_node_22";"Acridotheres javanicus";"species"
"FS20_node_23";"Acridotheres tristis";"species"
"FS20_node_24";"Acrocomia aculeata";"species"
"FS20_node_25";"Acronychia pedunculata";"species"
"FS20_node_26";"Acrothamnus colensoi";"species"
"FS20_node_27";"Actinidia arguta";"species"
"FS20_node_28";"Actinidia callosa";"species"
"FS20_node_29";"Actinodaphne borneensis";"species"
"FS20_node_30";"Actinodaphne hookeri";"species"
"FS20_node_31";"Adansonia digitata";"species"
"FS20_node_32";"Adinandra acuminata";"species"
"FS20_node_33";"Adinandra formosana";"species"
"FS20_node_34";"Adinandra integerrima";"species"
"FS20_node_35";"Adinandra sarosanthera";"species"
"FS20_node_36";"Aechmea aquilega";"species"
"FS20_node_37";"Aechmea bracteata";"species"
"FS20_node_38";"Aechmea dichlamydea";"species"
"FS20_node_39";"Aechmea distichantha";"species"
"FS20_node_40";"Aechmea fendleri";"species"
"FS20_node_41";"Aechmea mertensii";"species"
"FS20_node_42";"Aechmea nudicaulis";"species"
"FS20_node_43";"Aechmea tillandsioides";"species"
"FS20_node_44";"Aechmea tonduzii";"species"
"FS20_node_45";"Aegiphila integrifolia";"species"
"FS20_node_46";"Aegiphila mollis";"species"
"FS20_node_47";"Aegiphila sellowiana";"species"
"FS20_node_48";"Aegithalos caudatus";"species"
"FS20_node_49";"Aegithina lafresnayei";"species"
"FS20_node_50";"Aegithina tiphia";"species"
"FS20_node_51";"Aepyceros melampus";"species"
"FS20_node_52";"Aethopyga siparaja";"species"
"FS20_node_53";"Aextoxicon punctatum";"species"
"FS20_node_54";"Aframomum leptolepis";"species"
"FS20_node_55";"Afzelia quanzensis";"species"
"FS20_node_56";"Agapornis pullarius";"species"
"FS20_node_57";"Agelaea pentagyna";"species"
"FS20_node_58";"Agelaioides badius";"species"
"FS20_node_59";"Agelanthus sansibarensis";"species"
"FS20_node_60";"Agelanthus subulatus";"species"
"FS20_node_61";"Aglaia argentea";"species"
"FS20_node_62";"Aglaia elaeagnoidea";"species"
"FS20_node_63";"Aglaia korthalsii";"species"
"FS20_node_64";"Aglaia lawii";"species"
"FS20_node_65";"Aglaia mariannensis";"species"
"FS20_node_66";"Aglaia odoratissima";"species"
"FS20_node_67";"Aglaia rubiginosa";"species"
"FS20_node_68";"Aglaia spectabilis";"species"
"FS20_node_69";"Agonandra brasiliensis";"species"
"FS20_node_70";"Aidia densiflora";"species"
"FS20_node_71";"Aidia genipiflora";"species"
"FS20_node_72";"Ailuroedus buccoides";"species"
"FS20_node_73";"Ailuroedus melanotis";"species"
"FS20_node_74";"Aiouea saligna";"species"
"FS20_node_75";"Alangium chinense";"species"
"FS20_node_76";"Alangium javanicum";"species"
"FS20_node_77";"Alangium kurzii";"species"
"FS20_node_78";"Alangium salviifolium";"species"
"FS20_node_79";"Albertisia undulata";"species"
"FS20_node_80";"Alces alces";"species"
"FS20_node_81";"Alchornea cordifolia";"species"
"FS20_node_82";"Alchornea costaricensis";"species"
"FS20_node_83";"Alchornea discolor";"species"
"FS20_node_84";"Alchornea fluviatilis";"species"
"FS20_node_85";"Alchornea glandulosa";"species"
"FS20_node_86";"Alchornea grandiflora";"species"
"FS20_node_87";"Alchornea latifolia";"species"
"FS20_node_88";"Alchornea sidifolia";"species"
"FS20_node_89";"Alchornea triplinervia";"species"
"FS20_node_90";"Alchorneopsis floribunda";"species"
"FS20_node_91";"Alcippe brunnea";"species"
"FS20_node_92";"Alcippe brunneicauda";"species"
"FS20_node_93";"Alcippe morrisonia";"species"
"FS20_node_94";"Alcippe poioicephala";"species"
"FS20_node_95";"Aldabrachelys gigantea";"species"
"FS20_node_96";"Alectroenas madagascariensis";"species"
"FS20_node_97";"Alectroenas sganzini";"species"
"FS20_node_98";"Alectryon excelsus";"species"
"FS20_node_99";"Alibertia edulis";"species"
"FS20_node_100";"Allanblackia floribunda";"species"
"FS20_node_101";"Allophylus abyssinicus";"species"
"FS20_node_102";"Allophylus africanus";"species"
"FS20_node_103";"Allophylus aldabricus";"species"
"FS20_node_104";"Allophylus chaunostachys";"species"
"FS20_node_105";"Allophylus cobbe";"species"
"FS20_node_106";"Allophylus edulis";"species"
"FS20_node_107";"Allophylus pervillei";"species"
"FS20_node_108";"Allophylus serratus";"species"
"FS20_node_109";"Aloe aldabrensis";"species"
"FS20_node_110";"Alophoixus bres";"species"
"FS20_node_111";"Alophoixus finschii";"species"
"FS20_node_112";"Alophoixus flaveolus";"species"
"FS20_node_113";"Alophoixus pallidus";"species"
"FS20_node_114";"Alophoixus phaeocephalus";"species"
"FS20_node_115";"Alouatta caraya";"species"
"FS20_node_116";"Alouatta guariba";"species"
"FS20_node_117";"Alouatta macconnelli";"species"
"FS20_node_118";"Alouatta palliata";"species"
"FS20_node_119";"Alouatta seniculus";"species"
"FS20_node_120";"Alphitonia whitei";"species"
"FS20_node_121";"Alphonsea cylindrica";"species"
"FS20_node_122";"Alphonsea elliptica";"species"
"FS20_node_123";"Alpinia oxymitra";"species"
"FS20_node_124";"Alseodaphne falcata";"species"
"FS20_node_125";"Alseodaphne semecarpifolia";"species"
"FS20_node_126";"Alstonia boonei";"species"
"FS20_node_127";"Amaioua guianensis";"species"
"FS20_node_128";"Amaioua intermedia";"species"
"FS20_node_129";"Amazona aestiva";"species"
"FS20_node_130";"Amazona albifrons";"species"
"FS20_node_131";"Amazona amazonica";"species"
"FS20_node_132";"Amazona autumnalis";"species"
"FS20_node_133";"Amazona farinosa";"species"
"FS20_node_134";"Amazona guatemalae";"species"
"FS20_node_135";"Amazona mercenaria";"species"
"FS20_node_136";"Amazona ochrocephala";"species"
"FS20_node_137";"Ambavia capuronii";"species"
"FS20_node_138";"Ambelania acida";"species"
"FS20_node_139";"Amblyornis macgregoriae";"species"
"FS20_node_140";"Amblyospiza albifrons";"species"
"FS20_node_141";"Amelanchier lamarckii";"species"
"FS20_node_142";"Amelanchier ovalis";"species"
"FS20_node_143";"Ametrida centurio";"species"
"FS20_node_144";"Amomyrtella guili";"species"
"FS20_node_145";"Amomyrtus luma";"species"
"FS20_node_146";"Ampeliceps coronatus";"species"
"FS20_node_147";"Ampelioides tschudii";"species"
"FS20_node_148";"Ampelion rubrocristatus";"species"
"FS20_node_149";"Ampelopsis arborea";"species"
"FS20_node_150";"Ampelopsis cantoniensis";"species"
"FS20_node_151";"Anacardium excelsum";"species"
"FS20_node_152";"Anacardium giganteum";"species"
"FS20_node_153";"Anacardium occidentale";"species"
"FS20_node_154";"Anairetes parulus";"species"
"FS20_node_155";"Anamirta cocculus";"species"
"FS20_node_156";"Andigena hypoglauca";"species"
"FS20_node_157";"Andira inermis";"species"
"FS20_node_158";"Andira pisonis";"species"
"FS20_node_159";"Andropadus importunus";"species"
"FS20_node_160";"Aniba muca";"species"
"FS20_node_161";"Anisognathus igniventris";"species"
"FS20_node_162";"Anisognathus lacrymosus";"species"
"FS20_node_163";"Anisognathus somptuosus";"species"
"FS20_node_164";"Anisophyllea fallax";"species"
"FS20_node_165";"Annickia chlorantha";"species"
"FS20_node_166";"Annickia polycarpa";"species"
"FS20_node_167";"Annona dioica";"species"
"FS20_node_168";"Annona hypoglauca";"species"
"FS20_node_169";"Annona muricata";"species"
"FS20_node_170";"Annona neosalicifolia";"species"
"FS20_node_171";"Annona reticulata";"species"
"FS20_node_172";"Annona senegalensis";"species"
"FS20_node_173";"Annona spraguei";"species"
"FS20_node_174";"Annona squamosa";"species"
"FS20_node_175";"Anolis carolinensis";"species"
"FS20_node_176";"Anomospermum chloranthum";"species"
"FS20_node_177";"Anonidium mannii";"species"
"FS20_node_178";"Anopyxis klaineana";"species"
"FS20_node_179";"Anorrhinus austeni";"species"
"FS20_node_180";"Anorrhinus galeritus";"species"
"FS20_node_181";"Anoura caudifer";"species"
"FS20_node_182";"Anoura cultrata";"species"
"FS20_node_183";"Anoura peruana";"species"
"FS20_node_184";"Anthocleista amplexicaulis";"species"
"FS20_node_185";"Anthocleista grandiflora";"species"
"FS20_node_186";"Anthocleista madagascariensis";"species"
"FS20_node_187";"Anthocleista schweinfurthii";"species"
"FS20_node_188";"Anthocleista vogelii";"species"
"FS20_node_189";"Anthornis melanura";"species"
"FS20_node_190";"Anthoscopus caroli";"species"
"FS20_node_191";"Anthoscopus parvulus";"species"
"FS20_node_192";"Anthracoceros albirostris";"species"
"FS20_node_193";"Anthracoceros coronatus";"species"
"FS20_node_194";"Anthracoceros malayanus";"species"
"FS20_node_195";"Anthurium acaule";"species"
"FS20_node_196";"Anthurium affine";"species"
"FS20_node_197";"Anthurium bernardii";"species"
"FS20_node_198";"Anthurium effusispathum";"species"
"FS20_node_199";"Anthurium glaucospadix";"species"
"FS20_node_200";"Anthurium gracile";"species"
"FS20_node_201";"Anthurium longistrorsum";"species"
"FS20_node_202";"Anthurium nymphaeifolium";"species"
"FS20_node_203";"Anthurium obtusum";"species"
"FS20_node_204";"Anthurium sanguineum";"species"
"FS20_node_205";"Anthurium scandens";"species"
"FS20_node_206";"Anthurium sellowianum";"species"
"FS20_node_207";"Anthurium stipitatum";"species"
"FS20_node_208";"Anthurium subsagittatum";"species"
"FS20_node_209";"Anthurium triphyllum";"species"
"FS20_node_210";"Anthurium versicolor";"species"
"FS20_node_211";"Anthus novaeseelandiae";"species"
"FS20_node_212";"Antiaris toxicaria";"species"
"FS20_node_213";"Antidaphne viscoidea";"species"
"FS20_node_214";"Antidesma bunius";"species"
"FS20_node_215";"Antidesma ghaesembilla";"species"
"FS20_node_216";"Antidesma montanum";"species"
"FS20_node_217";"Antidesma venosum";"species"
"FS20_node_218";"Antilophia galeata";"species"
"FS20_node_219";"Antirhea borbonica";"species"
"FS20_node_220";"Antirhea tenuiflora";"species"
"FS20_node_221";"Antrocaryon klaineanum";"species"
"FS20_node_222";"Antrocaryon micraster";"species"
"FS20_node_223";"Aotus zonalis";"species"
"FS20_node_224";"Apalis rufogularis";"species"
"FS20_node_225";"Apalis thoracica";"species"
"FS20_node_226";"Apeiba glabra";"species"
"FS20_node_227";"Apeiba membranacea";"species"
"FS20_node_228";"Apeiba petoumo";"species"
"FS20_node_229";"Aphanamixis polystachya";"species"
"FS20_node_230";"Aphananthe cuspidata";"species"
"FS20_node_231";"Aphloia theiformis";"species"
"FS20_node_232";"Aplonis opaca";"species"
"FS20_node_233";"Aplonis panayensis";"species"
"FS20_node_234";"Apodemus flavicollis";"species"
"FS20_node_235";"Apodytes dimidiata";"species"
"FS20_node_236";"Apollonias barbujana";"species"
"FS20_node_237";"Aporosa arborea";"species"
"FS20_node_238";"Aporosa frutescens";"species"
"FS20_node_239";"Aporosa planchoniana";"species"
"FS20_node_240";"Aporosa yunnanensis";"species"
"FS20_node_241";"Aporrhiza paniculata";"species"
"FS20_node_242";"Ara chloropterus";"species"
"FS20_node_243";"Ara macao";"species"
"FS20_node_244";"Ara severus";"species"
"FS20_node_245";"Arachnothera magna";"species"
"FS20_node_246";"Aralia bipinnata";"species"
"FS20_node_247";"Aralia decaisneana";"species"
"FS20_node_248";"Aralia excelsa";"species"
"FS20_node_249";"Aralia spinosa";"species"
"FS20_node_250";"Aratinga aurea";"species"
"FS20_node_251";"Aratinga leucophthalma";"species"
"FS20_node_252";"Aratinga nana";"species"
"FS20_node_253";"Aratinga wagleri";"species"
"FS20_node_254";"Arbutus unedo";"species"
"FS20_node_255";"Archontophoenix alexandrae";"species"
"FS20_node_256";"Archontophoenix cunninghamiana";"species"
"FS20_node_257";"Arctictis binturong";"species"
"FS20_node_258";"Arctostaphylos uva-ursi";"species"
"FS20_node_259";"Ardisia auriculata";"species"
"FS20_node_260";"Ardisia compressa";"species"
"FS20_node_261";"Ardisia elliptica";"species"
"FS20_node_262";"Ardisia excelsa";"species"
"FS20_node_263";"Ardisia guianensis";"species"
