"network_id";"node_from";"node_to";"link_type";"original_id"
"B22_1";"D22net1_col_1";"D22net1_row_1";"my.type";"A_HP_Arai_mcgregor"
"B22_1";"D22net1_col_3";"D22net1_row_1";"my.type";"A_HP_Arai_mcgregor"
"B22_1";"D22net1_col_4";"D22net1_row_1";"my.type";"A_HP_Arai_mcgregor"
"B22_1";"D22net1_col_6";"D22net1_row_1";"my.type";"A_HP_Arai_mcgregor"
"B22_1";"D22net1_col_9";"D22net1_row_1";"my.type";"A_HP_Arai_mcgregor"
"B22_1";"D22net1_col_10";"D22net1_row_1";"my.type";"A_HP_Arai_mcgregor"
"B22_1";"D22net1_col_11";"D22net1_row_1";"my.type";"A_HP_Arai_mcgregor"
"B22_1";"D22net1_col_12";"D22net1_row_2";"my.type";"A_HP_Arai_mcgregor"
"B22_1";"D22net1_col_4";"D22net1_row_3";"my.type";"A_HP_Arai_mcgregor"
"B22_1";"D22net1_col_6";"D22net1_row_3";"my.type";"A_HP_Arai_mcgregor"
"B22_1";"D22net1_col_13";"D22net1_row_3";"my.type";"A_HP_Arai_mcgregor"
"B22_1";"D22net1_col_14";"D22net1_row_4";"my.type";"A_HP_Arai_mcgregor"
"B22_1";"D22net1_col_15";"D22net1_row_4";"my.type";"A_HP_Arai_mcgregor"
"B22_1";"D22net1_col_16";"D22net1_row_4";"my.type";"A_HP_Arai_mcgregor"
"B22_1";"D22net1_col_17";"D22net1_row_4";"my.type";"A_HP_Arai_mcgregor"
"B22_1";"D22net1_col_6";"D22net1_row_5";"my.type";"A_HP_Arai_mcgregor"
"B22_1";"D22net1_col_12";"D22net1_row_5";"my.type";"A_HP_Arai_mcgregor"
"B22_1";"D22net1_col_18";"D22net1_row_5";"my.type";"A_HP_Arai_mcgregor"
"B22_1";"D22net1_col_19";"D22net1_row_5";"my.type";"A_HP_Arai_mcgregor"
"B22_1";"D22net1_col_20";"D22net1_row_5";"my.type";"A_HP_Arai_mcgregor"
"B22_1";"D22net1_col_21";"D22net1_row_5";"my.type";"A_HP_Arai_mcgregor"
"B22_1";"D22net1_col_22";"D22net1_row_5";"my.type";"A_HP_Arai_mcgregor"
"B22_1";"D22net1_col_23";"D22net1_row_5";"my.type";"A_HP_Arai_mcgregor"
"B22_1";"D22net1_col_6";"D22net1_row_6";"my.type";"A_HP_Arai_mcgregor"
"B22_1";"D22net1_col_12";"D22net1_row_6";"my.type";"A_HP_Arai_mcgregor"
"B22_1";"D22net1_col_14";"D22net1_row_6";"my.type";"A_HP_Arai_mcgregor"
"B22_1";"D22net1_col_23";"D22net1_row_6";"my.type";"A_HP_Arai_mcgregor"
"B22_1";"D22net1_col_24";"D22net1_row_6";"my.type";"A_HP_Arai_mcgregor"
"B22_1";"D22net1_col_25";"D22net1_row_6";"my.type";"A_HP_Arai_mcgregor"
"B22_1";"D22net1_col_26";"D22net1_row_6";"my.type";"A_HP_Arai_mcgregor"
"B22_1";"D22net1_col_27";"D22net1_row_6";"my.type";"A_HP_Arai_mcgregor"
"B22_1";"D22net1_col_5";"D22net1_row_7";"my.type";"A_HP_Arai_mcgregor"
"B22_1";"D22net1_col_14";"D22net1_row_7";"my.type";"A_HP_Arai_mcgregor"
"B22_1";"D22net1_col_28";"D22net1_row_7";"my.type";"A_HP_Arai_mcgregor"
"B22_1";"D22net1_col_29";"D22net1_row_7";"my.type";"A_HP_Arai_mcgregor"
"B22_1";"D22net1_col_30";"D22net1_row_7";"my.type";"A_HP_Arai_mcgregor"
"B22_1";"D22net1_col_31";"D22net1_row_7";"my.type";"A_HP_Arai_mcgregor"
"B22_1";"D22net1_col_32";"D22net1_row_7";"my.type";"A_HP_Arai_mcgregor"
"B22_1";"D22net1_col_33";"D22net1_row_7";"my.type";"A_HP_Arai_mcgregor"
"B22_1";"D22net1_col_34";"D22net1_row_7";"my.type";"A_HP_Arai_mcgregor"
"B22_1";"D22net1_col_35";"D22net1_row_7";"my.type";"A_HP_Arai_mcgregor"
"B22_1";"D22net1_col_4";"D22net1_row_8";"my.type";"A_HP_Arai_mcgregor"
