"network_id";"original_id";"network_db";"network_interaction";"main_animal_taxa";"network_year";"network_lat";"network_lon";"habitat_type";"network_topology_type";"network_spatial_type"
"P22_001";1;"P22";"pollination";"Insects";NA;-33,28;-70,27;NA;"bipartite";"point"
"P22_002";10;"P22";"pollination";"Insects";NA;-36,42;148,33;NA;"bipartite";"point"
"P22_003";100;"P22";"pollination";"Hymenoptera";NA;27,129525;-81,36931775;NA;"bipartite";"point"
"P22_004";101;"P22";"pollination";"Hymenoptera";NA;27,149272475;-81,364003325;NA;"bipartite";"point"
"P22_005";102;"P22";"pollination";"Hymenoptera";NA;-12,333864;-38,852288;NA;"bipartite";"point"
"P22_006";103;"P22";"pollination";"Insects";NA;48,777;-123,941;NA;"bipartite";"point"
"P22_007";104;"P22";"pollination";"Insects";NA;48,777;-123,941;NA;"bipartite";"point"
"P22_008";105;"P22";"pollination";"Insects";NA;48,819;-124,134;NA;"bipartite";"point"
"P22_009";106;"P22";"pollination";"Insects";NA;48,819;-124,134;NA;"bipartite";"point"
"P22_010";107;"P22";"pollination";"Insects";NA;48,808;-123,631;NA;"bipartite";"point"
"P22_011";108;"P22";"pollination";"Insects";NA;48,808;-123,631;NA;"bipartite";"point"
"P22_012";109;"P22";"pollination";"Insects";NA;48,817;-124,117;NA;"bipartite";"point"
"P22_013";11;"P22";"pollination";"Insects";NA;35,34;134,76;NA;"bipartite";"point"
"P22_014";110;"P22";"pollination";"Insects";NA;48,817;-124,117;NA;"bipartite";"point"
"P22_015";111;"P22";"pollination";"Insects";NA;48,791;-123,638;NA;"bipartite";"point"
"P22_016";112;"P22";"pollination";"Insects";NA;48,791;-123,638;NA;"bipartite";"point"
"P22_017";113;"P22";"pollination";"Insects";NA;48,782;-123,885;NA;"bipartite";"point"
"P22_018";114;"P22";"pollination";"Insects";NA;48,782;-123,885;NA;"bipartite";"point"
"P22_019";115;"P22";"pollination";"Insects";NA;49,087;-119,518;NA;"bipartite";"point"
"P22_020";116;"P22";"pollination";"Insects";NA;49,091;-119,527;NA;"bipartite";"point"
"P22_021";117;"P22";"pollination";"Insects";NA;49,262;-119,509;NA;"bipartite";"point"
"P22_022";118;"P22";"pollination";"Insects";NA;49,184;-119,586;NA;"bipartite";"point"
"P22_023";119;"P22";"pollination";"Insects";NA;49,303;-119,63;NA;"bipartite";"point"
"P22_024";12;"P22";"pollination";"Insects";NA;81,82;-71,3;NA;"bipartite";"point"
"P22_025";120;"P22";"pollination";"Insects";NA;49,312;-119,68;NA;"bipartite";"point"
"P22_026";121;"P22";"pollination";"Insects";NA;49,015;-119,588;NA;"bipartite";"point"
"P22_027";122;"P22";"pollination";"Insects";NA;49,011;-119,621;NA;"bipartite";"point"
"P22_028";123;"P22";"pollination";"Hymenoptera";NA;51,296;-114,569;NA;"bipartite";"point"
"P22_029";124;"P22";"pollination";"Hymenoptera";NA;51,273;-114,627;NA;"bipartite";"point"
"P22_030";125;"P22";"pollination";"Hymenoptera";NA;51,154;-114,59;NA;"bipartite";"point"
"P22_031";126;"P22";"pollination";"Hymenoptera";NA;50,385;-114,373;NA;"bipartite";"point"
"P22_032";127;"P22";"pollination";"Hymenoptera";NA;50,405;-114,328;NA;"bipartite";"point"
"P22_033";128;"P22";"pollination";"Hymenoptera";NA;50,195;-113,87;NA;"bipartite";"point"
"P22_034";129;"P22";"pollination";"Hymenoptera";NA;50,185;-113,895;NA;"bipartite";"point"
"P22_035";13;"P22";"pollination";"Insects";NA;-0,6;-90,36;NA;"bipartite";"point"
"P22_036";130;"P22";"pollination";"Hymenoptera";NA;49,931;-114,149;NA;"bipartite";"point"
"P22_037";131;"P22";"pollination";"Hymenoptera";NA;49,888;-114,137;NA;"bipartite";"point"
"P22_038";132;"P22";"pollination";"Hymenoptera";NA;49,809;-114,11;NA;"bipartite";"point"
"P22_039";133;"P22";"pollination";"Hymenoptera";NA;49,799;-114,141;NA;"bipartite";"point"
"P22_040";134;"P22";"pollination";"Hymenoptera";NA;51,181;-114,411;NA;"bipartite";"point"
"P22_041";135;"P22";"pollination";"Hymenoptera";NA;51,151;-114,317;NA;"bipartite";"point"
"P22_042";136;"P22";"pollination";"Hymenoptera";NA;51,049;-114,539;NA;"bipartite";"point"
"P22_043";137;"P22";"pollination";"Hymenoptera";NA;50,871;-114,226;NA;"bipartite";"point"
"P22_044";138;"P22";"pollination";"Hymenoptera";NA;50,888;-114,284;NA;"bipartite";"point"
"P22_045";139;"P22";"pollination";"Insects";NA;50,572;-114,369;NA;"bipartite";"point"
"P22_046";14;"P22";"pollination";"Insects";NA;-34,17;-69,7;NA;"bipartite";"point"
"P22_047";140;"P22";"pollination";"Hymenoptera";NA;50,589;-114,396;NA;"bipartite";"point"
"P22_048";141;"P22";"pollination";"Hymenoptera";NA;49,82;-114,179;NA;"bipartite";"point"
"P22_049";142;"P22";"pollination";"Hymenoptera";NA;50,158;-114,046;NA;"bipartite";"point"
"P22_050";143;"P22";"pollination";"Insects";NA;49,087;-96,756;NA;"bipartite";"point"
"P22_051";144;"P22";"pollination";"Insects";NA;49,087;-96,734;NA;"bipartite";"point"
"P22_052";145;"P22";"pollination";"Insects";NA;49,09;-96,735;NA;"bipartite";"point"
"P22_053";146;"P22";"pollination";"Insects";NA;49,073;-96,767;NA;"bipartite";"point"
"P22_054";147;"P22";"pollination";"Insects";NA;49,15;-96,671;NA;"bipartite";"point"
"P22_055";148;"P22";"pollination";"Insects";NA;49,163;-96,674;NA;"bipartite";"point"
"P22_056";149;"P22";"pollination";"Hymenoptera";NA;-19,126635;-51,756343;NA;"bipartite";"point"
"P22_057";15;"P22";"pollination";"Insects";NA;-33;-69,28;NA;"bipartite";"point"
"P22_058";150;"P22";"pollination";"Insects";NA;19,57582;-96,382317;NA;"bipartite";"point"
"P22_059";151;"P22";"pollination";"Insects";NA;-0,057386;-51,156803;NA;"bipartite";"point"
