"network_id";"node_from";"node_to";"link_type";"original_id"
"D21_1";"D21_node_1235";"D21_node_255";"pollination";"1_USA"
"D21_1";"D21_node_1236";"D21_node_255";"pollination";"1_USA"
"D21_1";"D21_node_1235";"D21_node_417";"pollination";"1_USA"
"D21_1";"D21_node_1236";"D21_node_417";"pollination";"1_USA"
"D21_2";"D21_node_67";"D21_node_791";"pollination";"10_Mexico"
"D21_2";"D21_node_762";"D21_node_791";"pollination";"10_Mexico"
"D21_2";"D21_node_762";"D21_node_889";"pollination";"10_Mexico"
"D21_2";"D21_node_65";"D21_node_988";"pollination";"10_Mexico"
"D21_2";"D21_node_67";"D21_node_988";"pollination";"10_Mexico"
"D21_2";"D21_node_78";"D21_node_988";"pollination";"10_Mexico"
"D21_2";"D21_node_88";"D21_node_988";"pollination";"10_Mexico"
"D21_2";"D21_node_110";"D21_node_988";"pollination";"10_Mexico"
"D21_2";"D21_node_236";"D21_node_988";"pollination";"10_Mexico"
"D21_2";"D21_node_237";"D21_node_988";"pollination";"10_Mexico"
"D21_2";"D21_node_354";"D21_node_988";"pollination";"10_Mexico"
"D21_2";"D21_node_498";"D21_node_988";"pollination";"10_Mexico"
"D21_2";"D21_node_762";"D21_node_988";"pollination";"10_Mexico"
"D21_2";"D21_node_63";"D21_node_988";"pollination";"10_Mexico"
"D21_2";"D21_node_67";"D21_node_1342";"pollination";"10_Mexico"
"D21_2";"D21_node_78";"D21_node_1342";"pollination";"10_Mexico"
"D21_2";"D21_node_236";"D21_node_1342";"pollination";"10_Mexico"
"D21_3";"D21_node_412";"D21_node_174";"pollination";"11_Mexico"
"D21_3";"D21_node_498";"D21_node_174";"pollination";"11_Mexico"
"D21_3";"D21_node_127";"D21_node_174";"pollination";"11_Mexico"
"D21_3";"D21_node_63";"D21_node_174";"pollination";"11_Mexico"
"D21_3";"D21_node_104";"D21_node_793";"pollination";"11_Mexico"
"D21_3";"D21_node_412";"D21_node_793";"pollination";"11_Mexico"
"D21_3";"D21_node_498";"D21_node_793";"pollination";"11_Mexico"
"D21_3";"D21_node_127";"D21_node_793";"pollination";"11_Mexico"
"D21_3";"D21_node_63";"D21_node_793";"pollination";"11_Mexico"
"D21_3";"D21_node_104";"D21_node_1032";"pollination";"11_Mexico"
"D21_3";"D21_node_412";"D21_node_1032";"pollination";"11_Mexico"
"D21_3";"D21_node_498";"D21_node_1032";"pollination";"11_Mexico"
"D21_3";"D21_node_127";"D21_node_1032";"pollination";"11_Mexico"
"D21_3";"D21_node_63";"D21_node_1032";"pollination";"11_Mexico"
"D21_3";"D21_node_231";"D21_node_1108";"pollination";"11_Mexico"
"D21_3";"D21_node_412";"D21_node_1108";"pollination";"11_Mexico"
"D21_3";"D21_node_498";"D21_node_1108";"pollination";"11_Mexico"
"D21_3";"D21_node_127";"D21_node_1108";"pollination";"11_Mexico"
"D21_4";"D21_node_104";"D21_node_174";"pollination";"12_Mexico"
"D21_4";"D21_node_231";"D21_node_174";"pollination";"12_Mexico"
"D21_4";"D21_node_354";"D21_node_174";"pollination";"12_Mexico"
"D21_4";"D21_node_498";"D21_node_174";"pollination";"12_Mexico"
"D21_4";"D21_node_127";"D21_node_174";"pollination";"12_Mexico"
"D21_4";"D21_node_765";"D21_node_174";"pollination";"12_Mexico"
"D21_4";"D21_node_1235";"D21_node_174";"pollination";"12_Mexico"
"D21_4";"D21_node_1236";"D21_node_174";"pollination";"12_Mexico"
"D21_4";"D21_node_1237";"D21_node_174";"pollination";"12_Mexico"
"D21_4";"D21_node_498";"D21_node_256";"pollination";"12_Mexico"
"D21_4";"D21_node_127";"D21_node_256";"pollination";"12_Mexico"
"D21_4";"D21_node_104";"D21_node_257";"pollination";"12_Mexico"
"D21_4";"D21_node_231";"D21_node_257";"pollination";"12_Mexico"
"D21_4";"D21_node_498";"D21_node_257";"pollination";"12_Mexico"
"D21_4";"D21_node_127";"D21_node_257";"pollination";"12_Mexico"
"D21_4";"D21_node_1235";"D21_node_257";"pollination";"12_Mexico"
"D21_4";"D21_node_1236";"D21_node_257";"pollination";"12_Mexico"
"D21_4";"D21_node_1237";"D21_node_257";"pollination";"12_Mexico"
"D21_4";"D21_node_354";"D21_node_322";"pollination";"12_Mexico"
"D21_4";"D21_node_498";"D21_node_322";"pollination";"12_Mexico"
"D21_4";"D21_node_127";"D21_node_322";"pollination";"12_Mexico"
"D21_4";"D21_node_765";"D21_node_322";"pollination";"12_Mexico"
"D21_4";"D21_node_127";"D21_node_453";"pollination";"12_Mexico"
"D21_4";"D21_node_127";"D21_node_518";"pollination";"12_Mexico"
"D21_4";"D21_node_104";"D21_node_1030";"pollination";"12_Mexico"
"D21_4";"D21_node_354";"D21_node_1030";"pollination";"12_Mexico"
"D21_4";"D21_node_498";"D21_node_1030";"pollination";"12_Mexico"
"D21_4";"D21_node_127";"D21_node_1030";"pollination";"12_Mexico"
"D21_4";"D21_node_765";"D21_node_1030";"pollination";"12_Mexico"
"D21_4";"D21_node_1236";"D21_node_1030";"pollination";"12_Mexico"
"D21_4";"D21_node_104";"D21_node_1032";"pollination";"12_Mexico"
"D21_4";"D21_node_354";"D21_node_1032";"pollination";"12_Mexico"
"D21_4";"D21_node_498";"D21_node_1032";"pollination";"12_Mexico"
"D21_4";"D21_node_127";"D21_node_1032";"pollination";"12_Mexico"
"D21_4";"D21_node_765";"D21_node_1032";"pollination";"12_Mexico"
"D21_4";"D21_node_1235";"D21_node_1032";"pollination";"12_Mexico"
"D21_4";"D21_node_1236";"D21_node_1032";"pollination";"12_Mexico"
"D21_4";"D21_node_1237";"D21_node_1032";"pollination";"12_Mexico"
"D21_4";"D21_node_498";"D21_node_1086";"pollination";"12_Mexico"
"D21_4";"D21_node_127";"D21_node_1086";"pollination";"12_Mexico"
"D21_4";"D21_node_1235";"D21_node_1086";"pollination";"12_Mexico"
"D21_4";"D21_node_1236";"D21_node_1086";"pollination";"12_Mexico"
"D21_4";"D21_node_1237";"D21_node_1086";"pollination";"12_Mexico"
"D21_4";"D21_node_354";"D21_node_1197";"pollination";"12_Mexico"
"D21_4";"D21_node_498";"D21_node_1197";"pollination";"12_Mexico"
"D21_4";"D21_node_127";"D21_node_1197";"pollination";"12_Mexico"
"D21_4";"D21_node_762";"D21_node_1197";"pollination";"12_Mexico"
"D21_4";"D21_node_765";"D21_node_1197";"pollination";"12_Mexico"
"D21_4";"D21_node_1235";"D21_node_1197";"pollination";"12_Mexico"
"D21_4";"D21_node_1236";"D21_node_1197";"pollination";"12_Mexico"
"D21_4";"D21_node_1237";"D21_node_1197";"pollination";"12_Mexico"
"D21_4";"D21_node_498";"D21_node_1202";"pollination";"12_Mexico"
"D21_4";"D21_node_127";"D21_node_1202";"pollination";"12_Mexico"
"D21_4";"D21_node_1235";"D21_node_1202";"pollination";"12_Mexico"
"D21_5";"D21_node_1371";"D21_node_418";"pollination";"13_Jamaica"
"D21_5";"D21_node_853";"D21_node_418";"pollination";"13_Jamaica"
"D21_5";"D21_node_1371";"D21_node_1164";"pollination";"13_Jamaica"
"D21_5";"D21_node_853";"D21_node_1164";"pollination";"13_Jamaica"
"D21_5";"D21_node_853";"D21_node_203";"pollination";"13_Jamaica"
"D21_5";"D21_node_1371";"D21_node_145";"pollination";"13_Jamaica"
"D21_5";"D21_node_1371";"D21_node_1165";"pollination";"13_Jamaica"
"D21_5";"D21_node_1371";"D21_node_31";"pollination";"13_Jamaica"
"D21_6";"D21_node_309";"D21_node_8";"pollination";"14_Puerto_Rico"
"D21_6";"D21_node_309";"D21_node_294";"pollination";"14_Puerto_Rico"
"D21_6";"D21_node_89";"D21_node_577";"pollination";"14_Puerto_Rico"
"D21_6";"D21_node_309";"D21_node_577";"pollination";"14_Puerto_Rico"
"D21_6";"D21_node_309";"D21_node_692";"pollination";"14_Puerto_Rico"
"D21_6";"D21_node_89";"D21_node_924";"pollination";"14_Puerto_Rico"
"D21_6";"D21_node_89";"D21_node_973";"pollination";"14_Puerto_Rico"
"D21_6";"D21_node_309";"D21_node_973";"pollination";"14_Puerto_Rico"
"D21_6";"D21_node_309";"D21_node_1117";"pollination";"14_Puerto_Rico"
"D21_6";"D21_node_309";"D21_node_1154";"pollination";"14_Puerto_Rico"
"D21_6";"D21_node_309";"D21_node_1226";"pollination";"14_Puerto_Rico"
"D21_6";"D21_node_309";"D21_node_1228";"pollination";"14_Puerto_Rico"
"D21_6";"D21_node_309";"D21_node_1376";"pollination";"14_Puerto_Rico"
"D21_7";"D21_node_86";"D21_node_1034";"pollination";"15_Puerto_Rico"
"D21_7";"D21_node_86";"D21_node_1063";"pollination";"15_Puerto_Rico"
"D21_7";"D21_node_86";"D21_node_856";"pollination";"15_Puerto_Rico"
