"network_id";"original_id";"network_db";"network_interaction";"main_animal_taxa";"network_year";"network_lat";"network_lon";"habitat_type";"network_topology_type";"network_spatial_type"
"M22_1";"net_001";"M22";"frugivory";"Birds";"1974";40,331926;-74,666728;NA;"bipartite";"Point"
"M22_2";"net_002";"M22";"frugivory";"Birds";"1998";18,296944;-66,781944;NA;"bipartite";"Point"
"M22_3";"net_003";"M22";"frugivory";"Birds";"1998";18,258333;-66,535556;NA;"bipartite";"Point"
"M22_4";"net_004";"M22";"frugivory";"Birds";"1998";18,1725;-66,591944;NA;"bipartite";"Point"
"M22_5";"net_005";"M22";"frugivory";"Birds";"1998";18,308333;-66,558611;NA;"bipartite";"Point"
"M22_6";"net_006";"M22";"frugivory";"Birds";"1977";-28,95;31,75;NA;"bipartite";"Point"
"M22_7";"net_007";"M22";"frugivory";"Birds";"1988";-22,818101;-47,113757;NA;"bipartite";"Point"
"M22_8";"net_008";"M22";"frugivory";"Birds";"1988";-22,818101;-47,113757;NA;"bipartite";"Point"
"M22_9";"net_009";"M22";"frugivory";"Birds";"1975";18,506978;-89,486184;NA;"bipartite";"Point"
"M22_10";"net_010";"M22";"frugivory";"Birds";"1979";51,766667;-1,333333;NA;"bipartite";"Point"
"M22_11";"net_011";"M22";"frugivory";"Birds";"1999";-24,316965;-48,387175;NA;"bipartite";"Point"
"M22_12";"net_012";"M22";"frugivory";"Birds";"2013";-24,131389;-47,949167;NA;"bipartite";"Point"
"M22_13";"net_013";"M22";"frugivory";"Birds";"2001";-25,127786;-47,957463;NA;"bipartite";"Point"
"M22_14";"net_014";"M22";"frugivory";"Birds";"1995";-22,5532;-42,2805;NA;"bipartite";"Point"
"M22_15";"net_015";"M22";"frugivory";"Birds";"2005";-23,548369;-45,062541;NA;"bipartite";"Point"
"M22_16";"net_016";"M22";"frugivory";"Birds";"2000";-20,802611;-42,858746;NA;"bipartite";"Point"
"M22_17";"net_017";"M22";"frugivory";"Birds";"1996";-28,223141;-51,166857;NA;"bipartite";"Point"
"M22_18";"net_018";"M22";"frugivory";"Birds";"2002";-22,943263;-46,749949;NA;"bipartite";"Point"
"M22_19";"net_019";"M22";"frugivory";"Birds";"2008";-22,480979;-47,592293;NA;"bipartite";"Point"
"M22_20";"net_020";"M22";"frugivory";"Birds";"2012";-22,825234;-47,427761;NA;"bipartite";"Point"
"M22_21";"net_021";"M22";"frugivory";"Birds";"2012";-22,671644;-47,204638;NA;"bipartite";"Point"
"M22_22";"net_022";"M22";"frugivory";"Birds";"2012";-22,568342;-47,504987;NA;"bipartite";"Point"
"M22_23";"net_023";"M22";"frugivory";"Birds";"1994";-23,545856;-46,721177;NA;"bipartite";"Point"
"M22_24";"net_024";"M22";"frugivory";"Birds";"2013";-22,708708;-47,610207;NA;"bipartite";"Point"
"M22_25";"net_025";"M22";"frugivory";"Birds";"2010";-22,767379;-43,694394;NA;"bipartite";"Point"
"M22_26";"net_026";"M22";"frugivory";"Birds";"2005";37,79;-25,18;NA;"bipartite";"Point"
"M22_27";"net_027";"M22";"frugivory";"Birds";"2007";0,295833;34,786111;NA;"bipartite";"Point"
"M22_28";"net_028";"M22";"frugivory";"Birds";"2015";-25,4894;-49,2618;NA;"bipartite";"Point"
"M22_29";"net_029";"M22";"frugivory";"Birds";"2015";-25,4424;-49,2372;NA;"bipartite";"Point"
"M22_30";"net_030";"M22";"frugivory";"Birds";"2015";-25,4361;-49,2197;NA;"bipartite";"Point"
"M22_31";"net_031";"M22";"frugivory";"Birds";"2015";-25,42;-49,37;NA;"bipartite";"Point"
"M22_32";"net_032";"M22";"frugivory";"Birds";"2015";-25,409;-49,2696;NA;"bipartite";"Point"
"M22_33";"net_033";"M22";"frugivory";"Birds";"2015";-25,3616;-49,262;NA;"bipartite";"Point"
"M22_34";"net_034";"M22";"frugivory";"Birds";"2015";-25,38;-49,318;NA;"bipartite";"Point"
"M22_35";"net_035";"M22";"frugivory";"Birds";"2011";-25,1664;-48,4105;NA;"bipartite";"Point"
"M22_36";"net_036";"M22";"frugivory";"Birds";"2010";28,0306532;-15,45618116;NA;"bipartite";"Point"
"M22_37";"net_037";"M22";"frugivory";"Birds";"2010";28,06579413;-15,4634125;NA;"bipartite";"Point"
"M22_38";"net_038";"M22";"frugivory";"Birds";"2002";-12,988;-41,34;NA;"bipartite";"Point"
"M22_39";"net_039";"M22";"frugivory";"Birds";"1980";37,180449;-6,324044;NA;"bipartite";"Point"
"M22_40";"net_040";"M22";"frugivory";"Birds";"2010";-16,4;-67,5;NA;"bipartite";"Point"
"M22_41";"net_041";"M22";"frugivory";"Birds";"1988";30,333333;130,5;NA;"bipartite";"Point"
"M22_42";"net_042";"M22";"frugivory";"Birds";"2000";-18,95;-48,2;NA;"bipartite";"Point"
"M22_43";"net_043";"M22";"frugivory";"Birds";"2014";21,443306;-158,084519;NA;"bipartite";"Point"
"M22_44";"net_044";"M22";"frugivory";"Birds";"2014";21,536819;-158,193167;NA;"bipartite";"Point"
"M22_45";"net_045";"M22";"frugivory";"Birds";"2014";21,376042;-157,873358;NA;"bipartite";"Point"
"M22_46";"net_046";"M22";"frugivory";"Birds";"2014";21,506828;-158,144769;NA;"bipartite";"Point"
"M22_47";"net_047";"M22";"frugivory";"Birds";"2014";21,536472;-158,1799;NA;"bipartite";"Point"
"M22_48";"net_048";"M22";"frugivory";"Birds";"2014";21,338386;-157,810914;NA;"bipartite";"Point"
"M22_49";"net_049";"M22";"frugivory";"Birds";"2014";21,632117;-158,040747;NA;"bipartite";"Point"
"M22_50";"net_050";"M22";"frugivory";"Birds";"2016";37,5669;-0,9078;NA;"bipartite";"Point"
"M22_51";"net_051";"M22";"frugivory";"Birds";"2015";26,99;92,94;NA;"bipartite";"Point"
"M22_52";"net_052";"M22";"frugivory";"Birds";"2016";7,773183;-76,671767;NA;"bipartite";"Point"
"M22_53";"net_053";"M22";"frugivory";"Birds";"2012";43,28;-5,5;NA;"bipartite";"Point"
"M22_54";"net_054";"M22";"frugivory";"Birds";"2012";-29,06;-50,07;NA;"bipartite";"Point"
"M22_55";"net_055";"M22";"frugivory";"Birds";"2012";-31,67;-53,25;NA;"bipartite";"Point"
"M22_56";"net_056";"M22";"frugivory";"Birds";"2013";15,1742;145,7669;NA;"bipartite";"Point"
"M22_57";"net_057";"M22";"frugivory";"Birds";"2013";14,14;145,21;NA;"bipartite";"Point"
"M22_58";"net_058";"M22";"frugivory";"Birds";"2010";-0,75;-90,32;NA;"bipartite";"Point"
"M22_59";"net_059";"M22";"frugivory";"Birds";"2011";52,74;23,78;NA;"bipartite";"Point"
"M22_60";"net_060";"M22";"frugivory";"Birds";"1989";-4,916;-73,75;NA;"bipartite";"Point"
"M22_61";"net_061";"M22";"frugivory";"Birds";"2013";18,4675;-67,113047;NA;"bipartite";"Point"
"M22_62";"net_062";"M22";"frugivory";"Birds";"2013";19,5902;-96,3802;NA;"bipartite";"Point"
"M22_63";"net_063";"M22";"frugivory";"Birds";"2007";-8,966;-36,05;NA;"bipartite";"Point"
"M22_64";"net_064";"M22";"frugivory";"Birds";"2012";-41,2955556;174,7275;NA;"bipartite";"Point"
"M22_65";"net_065";"M22";"frugivory";"Birds";"2012";-41,2944444;174,7472222;NA;"bipartite";"Point"
"M22_66";"net_066";"M22";"frugivory";"Birds";"2012";-41,3033333;174,7525;NA;"bipartite";"Point"
"M22_67";"net_067";"M22";"frugivory";"Birds";"2012";-41,2925;174,7975;NA;"bipartite";"Point"
"M22_68";"net_068";"M22";"frugivory";"Birds";"2012";-41,2783333;174,7736111;NA;"bipartite";"Point"
"M22_69";"net_069";"M22";"frugivory";"Birds";"2012";-42,3483333;173,5666667;NA;"bipartite";"Point"
"M22_70";"net_070";"M22";"frugivory";"Birds";"2012";-42,3291667;173,6344444;NA;"bipartite";"Point"
"M22_71";"net_071";"M22";"frugivory";"Birds";"2012";-42,2758333;173,7380556;NA;"bipartite";"Point"
"M22_72";"net_072";"M22";"frugivory";"Birds";"2012";-42,2361111;173,7855556;NA;"bipartite";"Point"
"M22_73";"net_073";"M22";"frugivory";"Birds";"2012";40,223333;-8,464722;NA;"bipartite";"Point"
"M22_74";"net_074";"M22";"frugivory";"Birds";"2006";-41,305;174,7466667;NA;"bipartite";"Point"
"M22_75";"net_075";"M22";"frugivory";"Birds";"2009";-12,933333;-38,4;NA;"bipartite";"Point"
"M22_76";"net_076";"M22";"frugivory";"Birds";"2009";26,933333;92,966667;NA;"bipartite";"Point"
"M22_77";"net_077";"M22";"frugivory";"Birds";"2009";27,016667;92,95;NA;"bipartite";"Point"
"M22_78";"net_078";"M22";"frugivory";"Birds";"1983";-43,75;169,4;NA;"bipartite";"Point"
"M22_79";"net_079";"M22";"frugivory";"Birds";"2005";37,78;-25,15;NA;"bipartite";"Point"
"M22_80";"net_080";"M22";"frugivory";"Birds";"2005";37,8;-25,16;NA;"bipartite";"Point"
"M22_81";"net_081";"M22";"frugivory";"Birds";"2005";37,79;-25,16;NA;"bipartite";"Point"
"M22_82";"net_082";"M22";"frugivory";"Birds";"2012";40,3;-8,4;NA;"bipartite";"Point"
