"network_id";"original_id";"network_db";"network_interaction";"main_animal_taxa";"network_year";"network_lat";"network_lon";"habitat_type";"network_topology_type";"network_spatial_type"
"mangal_12";"12";"mangal";"unspecified";"Insects";1968;81,8166667;-71,3;"Lakes";"bipartite";"Point"
"mangal_908";"908";"mangal";"pollination";"Insects";2002;70,722635596545;-52,144531836264;NA;"bipartite";"Point"
"mangal_909";"909";"mangal";"pollination";"Insects";1994;68,35;18,5;NA;"bipartite";"Point"
"mangal_947";"947";"mangal";"herbivory";"Birds";1956;38,003734;-122,36325;"Marine";"unipartite";"Point"
"mangal_1262";"1262";"mangal";"food web";"Unspecified";1984;43,6202777777778;-74,6355555555556;"Marine";"unipartite";"Point"
"mangal_1261";"1261";"mangal";"herbivory";"Unspecified";1984;44,3416666666667;-74,3416666666667;"Marine";"unipartite";"Point"
"mangal_1219";"1219";"mangal";"food web";"Unspecified";1984;44,5119444444444;-74,125;"Marine";"unipartite";"Point"
"mangal_1237";"1237";"mangal";"herbivory";"Unspecified";1984;43,5513888888889;-75,0680555555556;"Marine";"unipartite";"Point"
"mangal_1218";"1218";"mangal";"food web";"Unspecified";1984;43,6511111111111;-74,7522222222222;"Marine";"unipartite";"Point"
"mangal_1235";"1235";"mangal";"food web";"Unspecified";1984;43,7802777777778;-74,9052777777778;"Marine";"unipartite";"Point"
"mangal_1236";"1236";"mangal";"food web";"Unspecified";1984;44,3769444444444;-74,3472222222222;"Marine";"unipartite";"Point"
"mangal_1221";"1221";"mangal";"food web";"Unspecified";1984;44,1625;-74,5697222222222;"Marine";"unipartite";"Point"
"mangal_1251";"1251";"mangal";"food web";"Unspecified";1984;44,2683333333333;-74,1530555555556;"Marine";"unipartite";"Point"
"mangal_1252";"1252";"mangal";"food web";"Unspecified";1984;44,3527777777778;-74,3116666666667;"Marine";"unipartite";"Point"
"mangal_1253";"1253";"mangal";"food web";"Unspecified";1984;43,8486111111111;-74,9230555555555;"Marine";"unipartite";"Point"
"mangal_1250";"1250";"mangal";"food web";"Unspecified";1984;43,8502777777778;-74,9;"Marine";"unipartite";"Point"
"mangal_1217";"1217";"mangal";"food web";"Unspecified";1984;43,6283333333333;-74,7972222222222;"Marine";"unipartite";"Point"
"mangal_1256";"1256";"mangal";"food web";"Unspecified";1984;43,7841666666667;-74,9152777777778;"Marine";"unipartite";"Point"
"mangal_1257";"1257";"mangal";"food web";"Unspecified";1984;44,0105555555556;-75,0108333333333;"Marine";"unipartite";"Point"
"mangal_1220";"1220";"mangal";"food web";"Unspecified";1984;44,2847222222222;-74,3594444444444;"Marine";"unipartite";"Point"
"mangal_1233";"1233";"mangal";"herbivory";"Unspecified";1984;43,7133333333333;-74,7794444444445;"Marine";"unipartite";"Point"
"mangal_1234";"1234";"mangal";"food web";"Unspecified";1984;44,3397222222222;-74,4122222222222;"Marine";"unipartite";"Point"
"mangal_1259";"1259";"mangal";"herbivory";"Unspecified";1984;45,6361111111111;-74,7388888888889;"Marine";"unipartite";"Point"
"mangal_1248";"1248";"mangal";"food web";"Unspecified";1984;43,6877777777778;-74,6661111111111;"Marine";"unipartite";"Point"
"mangal_1260";"1260";"mangal";"food web";"Unspecified";1984;43,6308333333333;-74,8102777777778;"Marine";"unipartite";"Point"
"mangal_1225";"1225";"mangal";"food web";"Unspecified";1984;43,7891666666667;-74,8127777777778;"Marine";"unipartite";"Point"
"mangal_1264";"1264";"mangal";"food web";"Unspecified";1984;44,3938888888889;-74,3027777777778;"Marine";"unipartite";"Point"
"mangal_1265";"1265";"mangal";"food web";"Unspecified";1984;43,6272222222222;-74,6563888888889;"Marine";"unipartite";"Point"
"mangal_1254";"1254";"mangal";"food web";"Unspecified";1984;44,0105555555556;-75,0183333333333;"Marine";"unipartite";"Point"
"mangal_1255";"1255";"mangal";"food web";"Unspecified";1984;43,8413888888889;-74,8069444444444;"Marine";"unipartite";"Point"
"mangal_1242";"1242";"mangal";"food web";"Unspecified";1984;44,3172222222222;-74,3605555555555;"Marine";"unipartite";"Point"
"mangal_1243";"1243";"mangal";"herbivory";"Unspecified";1984;43,6233333333333;-74,7622222222222;"Marine";"unipartite";"Point"
"mangal_1231";"1231";"mangal";"herbivory";"Unspecified";1984;44,0227777777778;-75,0211111111111;"Marine";"unipartite";"Point"
"mangal_1232";"1232";"mangal";"food web";"Unspecified";1984;43,6325;-74,6833333333333;"Marine";"unipartite";"Point"
"mangal_1246";"1246";"mangal";"food web";"Unspecified";1984;44,4875;-74,1672222222222;"Marine";"unipartite";"Point"
"mangal_1247";"1247";"mangal";"food web";"Unspecified";1984;44,4619444444444;-74,2838888888889;"Marine";"unipartite";"Point"
"mangal_1227";"1227";"mangal";"food web";"Unspecified";1984;43,5277777777778;-75,0555555555556;"Marine";"unipartite";"Point"
"mangal_1249";"1249";"mangal";"food web";"Unspecified";1984;43,8716666666667;-74,7777777777778;"Marine";"unipartite";"Point"
"mangal_1263";"1263";"mangal";"food web";"Unspecified";1984;43,6175;-74,6416666666667;"Marine";"unipartite";"Point"
"mangal_1238";"1238";"mangal";"herbivory";"Unspecified";1984;43,8625;-74,8197222222222;"Marine";"unipartite";"Point"
"mangal_1239";"1239";"mangal";"food web";"Unspecified";1984;43,6694444444444;-74,7;"Marine";"unipartite";"Point"
