"network_id";"original_id";"network_db";"network_interaction";"main_animal_taxa";"network_year";"network_lat";"network_lon";"habitat_type";"network_topology_type";"network_spatial_type"
"D21_1";"1_USA";"D21";"pollination";"Hummingbirds";NA;38,98;-106,97;NA;"bipartite";"Point"
"D21_2";"10_Mexico";"D21";"pollination";"Hummingbirds";NA;34,22;-116,95;NA;"bipartite";"Point"
"D21_3";"11_Mexico";"D21";"pollination";"Hummingbirds";NA;22,2833;-81,2;NA;"bipartite";"Point"
"D21_4";"12_Mexico";"D21";"pollination";"Hummingbirds";NA;20,6967;-98,769;NA;"bipartite";"Point"
"D21_5";"13_Jamaica";"D21";"pollination";"Hummingbirds";NA;20,6776;-98,7555;NA;"bipartite";"Point"
"D21_6";"14_Puerto_Rico";"D21";"pollination";"Hummingbirds";NA;20,6124;-98,7485;NA;"bipartite";"Point"
"D21_7";"15_Puerto_Rico";"D21";"pollination";"Hummingbirds";NA;20,1318;-98,7129;NA;"bipartite";"Point"
"D21_8";"16_Dominica";"D21";"pollination";"Hummingbirds";NA;19,5;-105,05;NA;"bipartite";"Point"
"D21_9";"17_Dominica";"D21";"pollination";"Hummingbirds";NA;19,5;-96,95;NA;"bipartite";"Point"
"D21_10";"18_Grenada";"D21";"pollination";"Hummingbirds";NA;19,4;-96,8;NA;"bipartite";"Point"
"D21_11";"19_Grenada";"D21";"pollination";"Hummingbirds";NA;19,28;-98,23;NA;"bipartite";"Point"
"D21_12";"2_USA";"D21";"pollination";"Hummingbirds";NA;19,23;-98,97;NA;"bipartite";"Point"
"D21_13";"20_Trinidad_&_Tobago";"D21";"pollination";"Hummingbirds";NA;18,3539;-77,645;NA;"bipartite";"Point"
"D21_14";"21_Costa_Rica";"D21";"pollination";"Hummingbirds";NA;18,13;-66,76;NA;"bipartite";"Point"
"D21_15";"22_Costa_Rica";"D21";"pollination";"Hummingbirds";NA;17,95;-66,82;NA;"bipartite";"Point"
"D21_16";"23_Costa_Rica";"D21";"pollination";"Hummingbirds";NA;15,35;-61,3;NA;"bipartite";"Point"
"D21_17";"24_Costa_Rica";"D21";"pollination";"Hummingbirds";NA;15,25;-61,37;NA;"bipartite";"Point"
"D21_18";"25_Costa_Rica";"D21";"pollination";"Hummingbirds";NA;12,1;-61,7;NA;"bipartite";"Point"
"D21_19";"26_Colombia";"D21";"pollination";"Hummingbirds";NA;12,1;-61,683;NA;"bipartite";"Point"
"D21_20";"27_Colombia";"D21";"pollination";"Hummingbirds";NA;10,67;-61,28;NA;"bipartite";"Point"
"D21_21";"28_Colombia";"D21";"pollination";"Hummingbirds";NA;10,4375;-84,0116;NA;"bipartite";"Point"
"D21_22";"29_Colombia";"D21";"pollination";"Hummingbirds";NA;10,2703;-84,084;NA;"bipartite";"Point"
"D21_23";"3_Cuba";"D21";"pollination";"Hummingbirds";NA;10,1762;-84,1117;NA;"bipartite";"Point"
"D21_24";"30_Colombia";"D21";"pollination";"Hummingbirds";NA;9,57;-83,73;NA;"bipartite";"Point"
"D21_25";"31_Colombia";"D21";"pollination";"Hummingbirds";NA;9,48;-83,48;NA;"bipartite";"Point"
"D21_26";"32_Colombia";"D21";"pollination";"Hummingbirds";NA;5,92;-73,53;NA;"bipartite";"Point"
"D21_27";"33_Colombia";"D21";"pollination";"Hummingbirds";NA;5,9;-73,42;NA;"bipartite";"Point"
"D21_28";"34_Colombia";"D21";"pollination";"Hummingbirds";NA;4,5445;-75,7703;NA;"bipartite";"Point"
"D21_29";"35_Ecuador";"D21";"pollination";"Hummingbirds";NA;4,53;-73,85;NA;"bipartite";"Point"
"D21_30";"36_Ecuador";"D21";"pollination";"Hummingbirds";NA;4,5;-75,6;NA;"bipartite";"Point"
"D21_31";"37_Ecuador";"D21";"pollination";"Hummingbirds";NA;2,6667;-76,95;NA;"bipartite";"Point"
"D21_32";"38_Ecuador";"D21";"pollination";"Hummingbirds";NA;2,5167;-76,9833;NA;"bipartite";"Point"
"D21_33";"39_Colombia";"D21";"pollination";"Hummingbirds";NA;1,25;-77,43;NA;"bipartite";"Point"
"D21_34";"4_Mexico";"D21";"pollination";"Hummingbirds";NA;0,0667;-72,45;NA;"bipartite";"Point"
"D21_35";"40_Brazil";"D21";"pollination";"Hummingbirds";NA;-0,02;-78,77;NA;"bipartite";"Point"
"D21_36";"41_Brazil";"D21";"pollination";"Hummingbirds";NA;-2,8332;-79,1332;NA;"bipartite";"Point"
"D21_37";"42_Peru";"D21";"pollination";"Hummingbirds";NA;-2,8667;-79,1167;NA;"bipartite";"Point"
"D21_38";"43_Brazil";"D21";"pollination";"Hummingbirds";NA;-2,9617;-79,1041;NA;"bipartite";"Point"
"D21_39";"44_Brazil";"D21";"pollination";"Hummingbirds";NA;-3,82;-70,27;NA;"bipartite";"Point"
"D21_40";"45_Brazil";"D21";"pollination";"Hummingbirds";NA;-7,8748;-36,403;NA;"bipartite";"Point"
"D21_41";"46_Peru";"D21";"pollination";"Hummingbirds";NA;-11,48;-41,32;NA;"bipartite";"Point"
"D21_42";"47_Brazil";"D21";"pollination";"Hummingbirds";NA;-12,8542;-69,367;NA;"bipartite";"Point"
"D21_43";"48_Bolivia";"D21";"pollination";"Hummingbirds";NA;-12,98;-41,33;NA;"bipartite";"Point"
"D21_44";"49_Bolivia";"D21";"pollination";"Hummingbirds";NA;-13,12;-41,58;NA;"bipartite";"Point"
"D21_45";"5_Mexico";"D21";"pollination";"Hummingbirds";NA;-13,12;-41,57;NA;"bipartite";"Point"
"D21_46";"50_Brazil";"D21";"pollination";"Hummingbirds";NA;-13,22;-72,12;NA;"bipartite";"Point"
"D21_47";"51_Brazil";"D21";"pollination";"Hummingbirds";NA;-13,8119;-39,2039;NA;"bipartite";"Point"
"D21_48";"52_Brazil";"D21";"pollination";"Hummingbirds";NA;-16,9598;-65,4073;NA;"bipartite";"Point"
"D21_49";"53_Brazil";"D21";"pollination";"Hummingbirds";NA;-17,5081;-63,636;NA;"bipartite";"Point"
"D21_50";"54_Brazil";"D21";"pollination";"Hummingbirds";NA;-17,7778;-48,6794;NA;"bipartite";"Point"
"D21_51";"55_Brazil";"D21";"pollination";"Hummingbirds";NA;-18,9892;-48,302;NA;"bipartite";"Point"
"D21_52";"56_Brazil";"D21";"pollination";"Hummingbirds";NA;-19,1556;-48,3889;NA;"bipartite";"Point"
"D21_53";"57_Brazil";"D21";"pollination";"Hummingbirds";NA;-19,25;-43,52;NA;"bipartite";"Point"
"D21_54";"58_Brazil";"D21";"pollination";"Hummingbirds";NA;-19,5167;-56,983;NA;"bipartite";"Point"
"D21_55";"59_Brazil";"D21";"pollination";"Hummingbirds";NA;-19,95;-43,9;NA;"bipartite";"Point"
"D21_56";"6_Mexico";"D21";"pollination";"Hummingbirds";NA;-20,4428;-54,6464;NA;"bipartite";"Point"
"D21_57";"60_Brazil";"D21";"pollination";"Hummingbirds";NA;-20,509;-54,6167;NA;"bipartite";"Point"
"D21_58";"61_Brazil";"D21";"pollination";"Hummingbirds";NA;-20,75;-42,92;NA;"bipartite";"Point"
"D21_59";"62_Brazil";"D21";"pollination";"Hummingbirds";NA;-22,2781;-41,6614;NA;"bipartite";"Point"
"D21_60";"63_Brazil";"D21";"pollination";"Hummingbirds";NA;-22,5;-44,8333;NA;"bipartite";"Point"
"D21_61";"64_Brazil";"D21";"pollination";"Hummingbirds";NA;-22,73;-45,58;NA;"bipartite";"Point"
"D21_62";"65_Brazil";"D21";"pollination";"Hummingbirds";NA;-23,283;-45,05;NA;"bipartite";"Point"
"D21_63";"66_Brazil";"D21";"pollination";"Hummingbirds";NA;-23,32;-44,94;NA;"bipartite";"Point"
"D21_64";"67_Brazil";"D21";"pollination";"Hummingbirds";NA;-23,33;-44,83;NA;"bipartite";"Point"
"D21_65";"68_Brazil";"D21";"pollination";"Hummingbirds";NA;-23,35;-44,83;NA;"bipartite";"Point"
"D21_66";"69_Brazil";"D21";"pollination";"Hummingbirds";NA;-23,36;-44,85;NA;"bipartite";"Point"
"D21_67";"7_Mexico";"D21";"pollination";"Hummingbirds";NA;-23,63;-45,85;NA;"bipartite";"Point"
"D21_68";"70_Brazil";"D21";"pollination";"Hummingbirds";NA;-24,18;-47,9329;NA;"bipartite";"Point"
"D21_69";"71_Brazil";"D21";"pollination";"Hummingbirds";NA;-24,555;-47,227;NA;"bipartite";"Point"
"D21_70";"72_Brazil";"D21";"pollination";"Hummingbirds";NA;-25,315;-48,6959;NA;"bipartite";"Point"
"D21_71";"73_Brazil";"D21";"pollination";"Hummingbirds";NA;-27,25;-49;NA;"bipartite";"Point"
"D21_72";"74_Brazil";"D21";"pollination";"Hummingbirds";NA;-27,25;-49;NA;"bipartite";"Point"
"D21_73";"75_Ecuador";"D21";"pollination";"Hummingbirds";NA;-27,25;-49;NA;"bipartite";"Point"
"D21_74";"76_Ecuador";"D21";"pollination";"Hummingbirds";NA;-31,8;-52,42;NA;"bipartite";"Point"
"D21_75";"77_Ecuador";"D21";"pollination";"Hummingbirds";NA;-4,1147;-78,9669;NA;"bipartite";"Point"
"D21_76";"78_Peru";"D21";"pollination";"Hummingbirds";NA;-4,1138;-79,1748;NA;"bipartite";"Point"
"D21_77";"79_Mexico";"D21";"pollination";"Hummingbirds";NA;-3,974;-79,07;NA;"bipartite";"Point"
"D21_78";"8_Mexico";"D21";"pollination";"Hummingbirds";NA;-9,709;-76,1609;NA;"bipartite";"Point"
"D21_79";"80_Mexico";"D21";"pollination";"Hummingbirds";NA;20,524;-100,352;NA;"bipartite";"Point"
"D21_80";"81_Ecuador";"D21";"pollination";"Hummingbirds";NA;20,755;-100,351;NA;"bipartite";"Point"
"D21_81";"82_Ecuador";"D21";"pollination";"Hummingbirds";NA;0,1191;-78,6345;NA;"bipartite";"Point"
"D21_82";"83_Colombia";"D21";"pollination";"Hummingbirds";NA;0,1179;-78,5986;NA;"bipartite";"Point"
"D21_83";"84_Colombia";"D21";"pollination";"Hummingbirds";NA;4,67;-75,57;NA;"bipartite";"Point"
"D21_84";"85_Brazil";"D21";"pollination";"Hummingbirds";NA;4,576;-75,86;NA;"bipartite";"Point"
"D21_85";"86_Brazil";"D21";"pollination";"Hummingbirds";NA;-18,1967;-43,5691;NA;"bipartite";"Point"
"D21_86";"87_Mexico";"D21";"pollination";"Hummingbirds";NA;-21,6156;-47,8147;NA;"bipartite";"Point"
"D21_87";"88_Mexico";"D21";"pollination";"Hummingbirds";NA;15,5912;-92,8465;NA;"bipartite";"Point"
"D21_88";"89_Mexico";"D21";"pollination";"Hummingbirds";NA;15,628;-92,8063;NA;"bipartite";"Point"
"D21_89";"9_Mexico";"D21";"pollination";"Hummingbirds";NA;15,6557;-92,8061;NA;"bipartite";"Point"
"D21_90";"90_Mexico";"D21";"pollination";"Hummingbirds";NA;16,7516;-92,6852;NA;"bipartite";"Point"
"D21_91";"91_Brazil";"D21";"pollination";"Hummingbirds";NA;-23,58;-45,33;NA;"bipartite";"Point"
"D21_92";"92_Brazil";"D21";"pollination";"Hummingbirds";NA;-23,17;-44,92;NA;"bipartite";"Point"
"D21_93";"93_British_Virgin_Islands";"D21";"pollination";"Hummingbirds";NA;18,733912;-64,3177;NA;"bipartite";"Point"
