"network_id";"original_id";"network_db";"network_interaction";"main_animal_taxa";"network_year";"network_lat";"network_lon";"habitat_type";"network_topology_type";"network_spatial_type"
"B22_1";"A_HP_Arai_mcgregor";"B22";"parasitism";NA;NA;54,08492901;-121,1695552;NA;"bipartite";"Point"
"B22_2";"A_HP_Arai_parsnip";"B22";"parasitism";NA;NA;54,71645792;-122,4012495;NA;"bipartite";"Point"
"B22_3";"A_HP_Bangham1955";"B22";"parasitism";NA;NA;45,58995046;-81,99350854;NA;"bipartite";"Point"
"B22_4";"A_HP_Belay10";"B22";"parasitism";NA;NA;36,09784164;-111,6905363;NA;"bipartite";"Point"
"B22_5";"A_HP_Belay14";"B22";"parasitism";NA;NA;54,71941254;17,39419344;NA;"bipartite";"Point"
"B22_6";"A_HP_Belay15";"B22";"parasitism";NA;NA;35,55204794;46,12972216;NA;"bipartite";"Point"
"B22_7";"A_HP_Belay2";"B22";"parasitism";NA;NA;-22,7738605;-53,27817108;NA;"bipartite";"Point"
"B22_8";"A_HP_Belay23";"B22";"parasitism";NA;NA;46,62718893;17,14334182;NA;"bipartite";"Point"
"B22_9";"A_HP_Belay25";"B22";"parasitism";NA;NA;57,45485573;27,09381253;NA;"bipartite";"Point"
"B22_10";"A_HP_Belay26";"B22";"parasitism";NA;NA;56,35028403;27,44519134;NA;"bipartite";"Point"
"B22_11";"A_HP_Belay27";"B22";"parasitism";NA;NA;16,82020541;-99,73322925;NA;"bipartite";"Point"
"B22_12";"A_HP_Belay30";"B22";"parasitism";NA;NA;16,90950103;-99,97417642;NA;"bipartite";"Point"
"B22_13";"A_HP_Chinniah1978";"B22";"parasitism";NA;NA;54,1605729;-64,37441352;NA;"bipartite";"Point"
"B22_14";"A_HP_Dechtiar1972";"B22";"parasitism";NA;NA;49,16475674;-94,54238923;NA;"bipartite";"Point"
"B22_15";"A_HP_Font";"B22";"parasitism";NA;NA;20,83633881;-156,3590614;NA;"bipartite";"Point"
"B22_16";"A_HP_Lecorff2000";"B22";"parasitism";NA;NA;37,05160012;-91,05764788;NA;"bipartite";"Point"
"B22_17";"A_HP_Leong1981";"B22";"parasitism";NA;NA;54,51725852;-110,0000493;NA;"bipartite";"Point"
"B22_18";"A_HP_Mendonca";"B22";"parasitism";NA;NA;-11,81432429;-55,41047487;NA;"bipartite";"Point"
"B22_19";"A_HP_Pilosof2013_1982";"B22";"parasitism";NA;NA;54,85660304;83,10648788;NA;"bipartite";"Point"
"B22_20";"A_HP_Stireman2003";"B22";"parasitism";NA;NA;31,85976748;-110,7693135;NA;"bipartite";"Point"
"B22_21";"A_PH_Bergamini";"B22";"herbivory";NA;NA;-21,87803962;-47,80030308;NA;"bipartite";"Point"
"B22_22";"A_PH_Joern-Altuda";"B22";"herbivory";NA;NA;30,33588255;-103,3565913;NA;"bipartite";"Point"
"B22_23";"A_PH_Joern-Marathon";"B22";"herbivory";NA;NA;30,20541731;-103,4115229;NA;"bipartite";"Point"
"B22_24";"A_PH_Lewis2002";"B22";"herbivory";NA;NA;16,74032307;-88,98393627;NA;"bipartite";"Point"
"B22_25";"A_PH_Novotny2005";"B22";"herbivory";NA;NA;-5,470418199;145,3149871;NA;"bipartite";"Point"
"B22_26";"A_PH_Novotny2012";"B22";"herbivory";NA;NA;-5,310274428;145,7024657;NA;"bipartite";"Point"
"B22_27";"A_PH_Tavakilian1997";"B22";"herbivory";NA;NA;5,070321336;-53,05134875;NA;"bipartite";"Point"
"B22_28";"A_PH_Ueckert";"B22";"herbivory";NA;NA;33,019473;-101,4906469;NA;"bipartite";"Point"
"B22_29";"M_AP_Passmore2012-2107-FF";"B22";"herbivory";NA;NA;-2,488675723;-59,99931336;NA;"bipartite";"Point"
"B22_30";"M_PL_Arizmendi";"B22";"pollination";NA;NA;20,8653619;-104,9233337;NA;"bipartite";"Point"
"B22_31";"M_PL_Carstensen2017_WesternSahara";"B22";"pollination";NA;NA;26,28972499;-14,22675202;NA;"bipartite";"Point"
"B22_32";"M_PL_High_mountain_matrix_Norfolk";"B22";"pollination";NA;NA;28,55773359;33,9324786;NA;"bipartite";"Point"
"B22_33";"M_PL_Kaiser-Bunbury_2010_060_01";"B22";"pollination";NA;NA;-20,07815291;57,52891725;NA;"bipartite";"Point"
"B22_34";"M_PL_Kato2000";"B22";"pollination";NA;NA;28,30847833;129,4203225;NA;"bipartite";"Point"
"B22_35";"M_PL_Mosquin1967";"B22";"pollination";NA;NA;75,2409354;-115,098799;NA;"bipartite";"Point"
"B22_36";"M_PL_Orford_2016_Field-10";"B22";"pollination";NA;NA;50,76682275;-3,900042917;NA;"bipartite";"Point"
"B22_37";"M_PL_Primack1983-2";"B22";"pollination";NA;NA;-44,4062981;171,0662621;NA;"bipartite";"Point"
"B22_38";"M_SD_Camargo_2009";"B22";"frugivory";NA;NA;8,5455555;-75,344444;NA;"bipartite";"Point"
"B22_39";"M_SD_Labbe_2011";"B22";"frugivory";NA;NA;42,4;-73;NA;"bipartite";"Point"
"B22_40";"M_SD_Perez-Torres_2004";"B22";"frugivory";NA;NA;4,772777778;-74,40305556;NA;"bipartite";"Point"
"B22_41";"M_SD_Poulin1999_psychotria";"B22";"frugivory";NA;NA;8,992139043;-79,5445884;NA;"bipartite";"Point"
