"network_id";"node_from";"node_to";"link_type";"link_direction";"link_value";"link_units"
"AI22_742";"AI22_node_2990";"AI22_node_2264";"pollination";NA;NA;NA
"AI22_742";"AI22_node_2990";"AI22_node_2668";"pollination";NA;NA;NA
"AI22_748";"AI22_node_2990";"AI22_node_2490";"pollination";NA;NA;NA
"AI22_748";"AI22_node_15";"AI22_node_2780";"pollination";NA;NA;NA
"AI22_795";"AI22_node_2990";"AI22_node_422";"pollination";NA;NA;NA
"AI22_795";"AI22_node_2990";"AI22_node_1758";"pollination";NA;NA;NA
"AI22_795";"AI22_node_1124";"AI22_node_1630";"pollination";NA;NA;NA
"AI22_795";"AI22_node_2990";"AI22_node_2935";"pollination";NA;NA;NA
"AI22_795";"AI22_node_2990";"AI22_node_2935";"pollination";NA;NA;NA
"AI22_795";"AI22_node_2990";"AI22_node_829";"pollination";NA;NA;NA
"AI22_795";"AI22_node_2990";"AI22_node_1180";"pollination";NA;NA;NA
"AI22_795";"AI22_node_2990";"AI22_node_1180";"pollination";NA;NA;NA
"AI22_795";"AI22_node_2990";"AI22_node_1180";"pollination";NA;NA;NA
"AI22_795";"AI22_node_2990";"AI22_node_1180";"pollination";NA;NA;NA
"AI22_795";"AI22_node_2990";"AI22_node_942";"pollination";NA;NA;NA
"AI22_795";"AI22_node_2990";"AI22_node_942";"pollination";NA;NA;NA
"AI22_795";"AI22_node_2990";"AI22_node_942";"pollination";NA;NA;NA
"AI22_660";"AI22_node_3001";"AI22_node_951";"pollination";NA;NA;NA
"AI22_656";"AI22_node_2990";"AI22_node_2828";"pollination";NA;NA;NA
"AI22_656";"AI22_node_2990";"AI22_node_2855";"pollination";NA;NA;NA
"AI22_656";"AI22_node_2990";"AI22_node_2828";"pollination";NA;NA;NA
"AI22_841";"AI22_node_2966";"AI22_node_1781";"pollination";NA;NA;NA
"AI22_841";"AI22_node_2990";"AI22_node_1781";"pollination";NA;NA;NA
"AI22_836";"AI22_node_1072";"AI22_node_1448";"pollination";NA;NA;NA
"AI22_836";"AI22_node_2990";"AI22_node_1448";"pollination";NA;NA;NA
"AI22_836";"AI22_node_2990";"AI22_node_2855";"pollination";NA;NA;NA
"AI22_836";"AI22_node_2966";"AI22_node_2983";"pollination";NA;NA;NA
"AI22_832";"AI22_node_2990";"AI22_node_2670";"pollination";NA;NA;NA
"AI22_729";"AI22_node_2990";"AI22_node_183";"pollination";NA;NA;NA
"AI22_729";"AI22_node_2055";"AI22_node_183";"pollination";NA;NA;NA
"AI22_729";"AI22_node_1134";"AI22_node_183";"pollination";NA;NA;NA
"AI22_729";"AI22_node_2816";"AI22_node_183";"pollination";NA;NA;NA
"AI22_729";"AI22_node_3001";"AI22_node_183";"pollination";NA;NA;NA
"AI22_729";"AI22_node_3001";"AI22_node_183";"pollination";NA;NA;NA
"AI22_729";"AI22_node_500";"AI22_node_183";"pollination";NA;NA;NA
"AI22_729";"AI22_node_500";"AI22_node_183";"pollination";NA;NA;NA
"AI22_729";"AI22_node_3001";"AI22_node_183";"pollination";NA;NA;NA
"AI22_729";"AI22_node_2055";"AI22_node_183";"pollination";NA;NA;NA
"AI22_729";"AI22_node_2990";"AI22_node_183";"pollination";NA;NA;NA
