"","D22net31_col_7","D22net31_col_10","D22net31_col_11","D22net31_col_16","D22net31_col_17","D22net31_col_25","D22net31_col_32","D22net31_col_38","D22net31_col_39","D22net31_col_41","D22net31_col_42","D22net31_col_45","D22net31_col_52","D22net31_col_3","D22net31_col_19","D22net31_col_31","D22net31_col_37","D22net31_col_46","D22net31_col_49","D22net31_col_2","D22net31_col_9","D22net31_col_12","D22net31_col_15","D22net31_col_20","D22net31_col_21","D22net31_col_22","D22net31_col_24","D22net31_col_26","D22net31_col_29","D22net31_col_30","D22net31_col_36","D22net31_col_43","D22net31_col_44","D22net31_col_48","D22net31_col_53","D22net31_col_55","D22net31_col_57","D22net31_col_59","D22net31_col_1","D22net31_col_56","D22net31_col_18","D22net31_col_4","D22net31_col_8","D22net31_col_34","D22net31_col_35","D22net31_col_40","D22net31_col_47","D22net31_col_50","D22net31_col_54","D22net31_col_58","D22net31_col_60","D22net31_col_13","D22net31_col_14","D22net31_col_51","D22net31_col_5","D22net31_col_6","D22net31_col_33","D22net31_col_27","D22net31_col_23","D22net31_col_28"
"D22net31_row_1",0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"D22net31_row_2",0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"D22net31_row_3",0,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
"D22net31_row_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D22net31_row_5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D22net31_row_6",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"D22net31_row_7",1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0
"D22net31_row_8",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"D22net31_row_9",0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"D22net31_row_10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D22net31_row_11",0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
