"","TI_HERB_5783","TI_HERB_5784","TI_HERB_5785","TI_HERB_5786","TI_HERB_5787","TI_HERB_5788","TI_HERB_4012","TI_HERB_5789","TI_HERB_5790","TI_HERB_5791","TI_HERB_5792","TI_HERB_5793","TI_HERB_5794","TI_HERB_5795","TI_HERB_5796","TI_HERB_5797","TI_HERB_5798","TI_HERB_5799","TI_HERB_5800","TI_HERB_5801","TI_HERB_5802","TI_HERB_5803","TI_HERB_5804","TI_HERB_5805","TI_HERB_5806","TI_HERB_5807","TI_HERB_5808","TI_HERB_5809","TI_HERB_5810","TI_HERB_5811","TI_HERB_5812","TI_HERB_5813","TI_HERB_5814","TI_HERB_5815","TI_HERB_5816","TI_HERB_5817","TI_HERB_5818","TI_HERB_5819","TI_HERB_5820","TI_HERB_5821","TI_HERB_5822","TI_HERB_5823","TI_HERB_5824","TI_HERB_5825","TI_HERB_5826","TI_HERB_5827","TI_HERB_5828","TI_HERB_5829","TI_HERB_5830","TI_HERB_5831","TI_HERB_5832","TI_HERB_5833","TI_HERB_5834","TI_HERB_5835","TI_HERB_5836","TI_HERB_5837","TI_HERB_5838","TI_HERB_5839","TI_HERB_5840","TI_HERB_5841","TI_HERB_5842","TI_HERB_3476","TI_HERB_5843","TI_HERB_5844","TI_HERB_5845","TI_HERB_5846","TI_HERB_5847","TI_HERB_5848","TI_HERB_5849","TI_HERB_5850","TI_HERB_5851","TI_HERB_5852","TI_HERB_5853","TI_HERB_5854","TI_HERB_5855","TI_HERB_5856","TI_HERB_5857","TI_HERB_5858","TI_HERB_5859","TI_HERB_5860","TI_HERB_5861","TI_HERB_5862","TI_HERB_5863","TI_HERB_5864","TI_HERB_5865","TI_HERB_5866","TI_HERB_5867","TI_HERB_5868","TI_HERB_5869","TI_HERB_5870","TI_HERB_5871","TI_HERB_5872","TI_HERB_5873","TI_HERB_5874","TI_HERB_5875","TI_HERB_5876","TI_HERB_5877","TI_HERB_5878","TI_HERB_5879","TI_HERB_5880","TI_HERB_5881","TI_HERB_5882","TI_HERB_5883","TI_HERB_5884","TI_HERB_5885","TI_HERB_5886","TI_HERB_5887","TI_HERB_5888","TI_HERB_5889","TI_HERB_5890","TI_HERB_5891","TI_HERB_5892","TI_HERB_5893","TI_HERB_5894","TI_HERB_5895","TI_HERB_5896","TI_HERB_5897","TI_HERB_2638","TI_HERB_5898","TI_HERB_5899","TI_HERB_5900","TI_HERB_5901","TI_HERB_5902","TI_HERB_5903","TI_HERB_5904","TI_HERB_5905","TI_HERB_5906","TI_HERB_5907","TI_HERB_5908","TI_HERB_5909","TI_HERB_5910","TI_HERB_5911","TI_HERB_5912","TI_HERB_5913","TI_HERB_5914","TI_HERB_5915","TI_HERB_5916","TI_HERB_5917","TI_HERB_5918","TI_HERB_5919","TI_HERB_5920","TI_HERB_5921","TI_HERB_5922","TI_HERB_5923","TI_HERB_5924","TI_HERB_5925","TI_HERB_5926","TI_HERB_5927","TI_HERB_5928","TI_HERB_5929","TI_HERB_5930","TI_HERB_5931","TI_HERB_5932","TI_HERB_5933","TI_HERB_5934","TI_HERB_5935","TI_HERB_5936","TI_HERB_5937","TI_HERB_3504","TI_HERB_5938","TI_HERB_5939","TI_HERB_5940","TI_HERB_5941","TI_HERB_5942","TI_HERB_5943","TI_HERB_5944","TI_HERB_5945","TI_HERB_5946","TI_HERB_5947","TI_HERB_5948","TI_HERB_5949","TI_HERB_5950","TI_HERB_5951","TI_HERB_5952","TI_HERB_5953","TI_HERB_5954","TI_HERB_5955","TI_HERB_5956","TI_HERB_5957","TI_HERB_5958","TI_HERB_5959","TI_HERB_5960","TI_HERB_5961","TI_HERB_5962","TI_HERB_5963","TI_HERB_5964","TI_HERB_5965","TI_HERB_5966","TI_HERB_5967","TI_HERB_5968","TI_HERB_5969","TI_HERB_5970","TI_HERB_5971","TI_HERB_5972","TI_HERB_5973","TI_HERB_5974","TI_HERB_5975","TI_HERB_5976","TI_HERB_5977","TI_HERB_5978","TI_HERB_5979","TI_HERB_5980","TI_HERB_5981","TI_HERB_5982","TI_HERB_5983","TI_HERB_5984","TI_HERB_5985","TI_HERB_5986","TI_HERB_5987","TI_HERB_5988","TI_HERB_5989","TI_HERB_5990","TI_HERB_5991","TI_HERB_5992","TI_HERB_1973","TI_HERB_5993","TI_HERB_5994","TI_HERB_5995","TI_HERB_5996","TI_HERB_5997","TI_HERB_5998","TI_HERB_5999","TI_HERB_6000","TI_HERB_6001","TI_HERB_6002","TI_HERB_6003","TI_HERB_6004","TI_HERB_6005","TI_HERB_6006","TI_HERB_3944","TI_HERB_6007","TI_HERB_6008","TI_HERB_6009","TI_HERB_2217","TI_HERB_6010","TI_HERB_6011","TI_HERB_4578","TI_HERB_6012","TI_HERB_6013"
"TI_PLANT_5008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_5009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_5010",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_5011",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"TI_PLANT_5012",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_5013",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_5014",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_5015",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"TI_PLANT_5016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_5017",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
