"","P22_node_5544","P22_node_9015","P22_node_5802","P22_node_6101","P22_node_5759","P22_node_9881","P22_node_5354","P22_node_6964","P22_node_8786","P22_node_8954","P22_node_5859","P22_node_6972","P22_node_9126","P22_node_5853","P22_node_7018","P22_node_5295","P22_node_5535","P22_node_5198","P22_node_13051"
"P22_node_3191",1,0,1,0,0,1,1,0,1,0,1,1,1,1,0,0,1,1,0
"P22_node_625",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"P22_node_1302",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_257",0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1
"P22_node_876",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"P22_node_396",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_1363",0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0
"P22_node_734",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_151",0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"P22_node_1354",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_1348",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
