"","WOL_node_10745","WOL_node_10701","WOL_node_554","WOL_node_3954","WOL_node_7290","WOL_node_2952","WOL_node_12763","WOL_node_1083","WOL_node_9622","WOL_node_5174","WOL_node_7488","WOL_node_7046","WOL_node_11152","WOL_node_1265","WOL_node_1266","WOL_node_2969","WOL_node_4921","WOL_node_11377","WOL_node_11388","WOL_node_11438","WOL_node_11649","WOL_node_5397","WOL_node_7181","WOL_node_1291","WOL_node_15321","WOL_node_9366","WOL_node_7050","WOL_node_271","WOL_node_1271","WOL_node_797","WOL_node_15515","WOL_node_4411","WOL_node_4964","WOL_node_15353","WOL_node_1929","WOL_node_68","WOL_node_12327","WOL_node_10011","WOL_node_10952","WOL_node_2631","WOL_node_10650","WOL_node_4502","WOL_node_10848","WOL_node_10050","WOL_node_10103","WOL_node_6496","WOL_node_9392","WOL_node_11353","WOL_node_6159","WOL_node_798","WOL_node_6125","WOL_node_10343","WOL_node_60","WOL_node_3722","WOL_node_3054","WOL_node_12146","WOL_node_10894","WOL_node_10906","WOL_node_11662","WOL_node_9046","WOL_node_4915","WOL_node_15384","WOL_node_10648","WOL_node_117","WOL_node_10195","WOL_node_56","WOL_node_6534","WOL_node_12443","WOL_node_3752","WOL_node_15322","WOL_node_155","WOL_node_10104","WOL_node_1074","WOL_node_7573","WOL_node_1932","WOL_node_10444","WOL_node_5228","WOL_node_118","WOL_node_2067","WOL_node_9777","WOL_node_15386","WOL_node_10944","WOL_node_7823","WOL_node_9365","WOL_node_61","WOL_node_10342","WOL_node_4916","WOL_node_1081","WOL_node_15424","WOL_node_5622","WOL_node_10839"
"WOL_node_4736",1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"WOL_node_1744",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_9803",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_1031",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_4619",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_7720",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_7768",1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"WOL_node_7721",0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"WOL_node_1687",1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"WOL_node_4714",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
