"","TI_HERB_4965","TI_HERB_4966","TI_HERB_4967","TI_HERB_889","TI_HERB_4968","TI_HERB_4969","TI_HERB_4970","TI_HERB_4971","TI_HERB_4972","TI_HERB_4973","TI_HERB_4974","TI_HERB_4975","TI_HERB_4976","TI_HERB_4977","TI_HERB_4978","TI_HERB_4979","TI_HERB_4980","TI_HERB_4981","TI_HERB_4982","TI_HERB_4983","TI_HERB_4984","TI_HERB_4985","TI_HERB_4986","TI_HERB_4987","TI_HERB_4988","TI_HERB_4989","TI_HERB_4990","TI_HERB_4991","TI_HERB_4992","TI_HERB_4993","TI_HERB_4994","TI_HERB_4995","TI_HERB_4996","TI_HERB_4997","TI_HERB_4998","TI_HERB_4999","TI_HERB_5000","TI_HERB_5001","TI_HERB_5002","TI_HERB_5003","TI_HERB_5004","TI_HERB_5005","TI_HERB_5006","TI_HERB_5007"
"TI_PLANT_4496",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4497",0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4498",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
"TI_PLANT_4499",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4501",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4502",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4503",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4504",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4505",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
