"","TI_HERB_4324","TI_HERB_4172","TI_HERB_4257","TI_HERB_4176","TI_HERB_4382","TI_HERB_4178","TI_HERB_4180","TI_HERB_4449","TI_HERB_4183","TI_HERB_4450","TI_HERB_4184","TI_HERB_4451","TI_HERB_4186","TI_HERB_4263","TI_HERB_4329","TI_HERB_4452","TI_HERB_4453","TI_HERB_4191","TI_HERB_4387","TI_HERB_4454","TI_HERB_4192","TI_HERB_4331","TI_HERB_4333","TI_HERB_4275","TI_HERB_4197","TI_HERB_4198","TI_HERB_4455","TI_HERB_4392","TI_HERB_4204","TI_HERB_4280","TI_HERB_4337","TI_HERB_4205","TI_HERB_4342","TI_HERB_4210","TI_HERB_4396","TI_HERB_4456","TI_HERB_4457","TI_HERB_4212","TI_HERB_4291","TI_HERB_4401","TI_HERB_4343","TI_HERB_4217","TI_HERB_4218","TI_HERB_4458","TI_HERB_4406","TI_HERB_4459","TI_HERB_4460","TI_HERB_4461","TI_HERB_4351","TI_HERB_4295","TI_HERB_4225","TI_HERB_4297","TI_HERB_4298","TI_HERB_4231","TI_HERB_4462","TI_HERB_4301","TI_HERB_4463","TI_HERB_4464","TI_HERB_4420","TI_HERB_4465","TI_HERB_4424","TI_HERB_4466","TI_HERB_4467","TI_HERB_4468","TI_HERB_4307","TI_HERB_4309","TI_HERB_4469","TI_HERB_4366","TI_HERB_4470","TI_HERB_4471","TI_HERB_4472","TI_HERB_4473","TI_HERB_4474","TI_HERB_4444","TI_HERB_4250","TI_HERB_4251","TI_HERB_4475"
"TI_PLANT_3775",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"TI_PLANT_3786",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"TI_PLANT_3742",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_3787",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_3774",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_3717",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_3759",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"TI_PLANT_3738",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"TI_PLANT_3723",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_3724",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
