"","P22_node_11108","P22_node_10640","P22_node_5363","P22_node_11396","P22_node_11290","P22_node_5364","P22_node_5374","P22_node_5375","P22_node_5377","P22_node_9600","P22_node_5237","P22_node_11397","P22_node_11392","P22_node_11114","P22_node_5504","P22_node_11390","P22_node_5582","P22_node_5549"
"P22_node_199",0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0
"P22_node_2444",0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0
"P22_node_2477",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_150",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"P22_node_2479",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"P22_node_2474",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0
"P22_node_2461",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
"P22_node_2473",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"P22_node_2480",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"P22_node_2481",0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
"P22_node_2475",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
"P22_node_151",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_2470",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"P22_node_231",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"P22_node_2482",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
