"","AI22_node_171","AI22_node_185","AI22_node_410","AI22_node_586","AI22_node_602","AI22_node_609","AI22_node_1313","AI22_node_1386","AI22_node_1387","AI22_node_2370","AI22_node_2381","AI22_node_3085","AI22_node_3184","AI22_node_2061","AI22_node_1638","AI22_node_308","AI22_node_313","AI22_node_319","AI22_node_323","AI22_node_2638"
"AI22_node_355",0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1
"AI22_node_2744",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"AI22_node_1240",1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
"AI22_node_1816",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AI22_node_3335",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AI22_node_537",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"AI22_node_1801",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"AI22_node_718",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"AI22_node_534",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AI22_node_702",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"AI22_node_218",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AI22_node_1255",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AI22_node_2842",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
