"","M22_node_2275","M22_node_2255","M22_node_702","M22_node_1440","M22_node_2406","M22_node_2391","M22_node_607","M22_node_2281","M22_node_581","M22_node_2283","M22_node_2455","M22_node_600","M22_node_1021","M22_node_1502","M22_node_1781","M22_node_465","M22_node_2191"
"M22_node_67",1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"M22_node_2288",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_641",0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"M22_node_698",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"M22_node_1398",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_998",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"M22_node_578",1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0
"M22_node_1662",1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0
"M22_node_2065",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"M22_node_229",1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0
"M22_node_432",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_1319",1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1
"M22_node_1259",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_1284",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_1476",1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1
"M22_node_1449",1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"M22_node_2240",0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
"M22_node_2237",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_929",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_1622",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_48",1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0
"M22_node_575",1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0
"M22_node_1644",0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
