"","P22_node_12881","P22_node_12882","P22_node_5544","P22_node_8955","P22_node_6695","P22_node_12883","P22_node_12831","P22_node_12856","P22_node_12884","P22_node_12885","P22_node_12886","P22_node_12887","P22_node_12888","P22_node_8783","P22_node_6964","P22_node_5771","P22_node_6966","P22_node_8785","P22_node_7085","P22_node_8998","P22_node_6967","P22_node_9011","P22_node_9903","P22_node_12889","P22_node_12890","P22_node_9025","P22_node_12891","P22_node_12860","P22_node_12892","P22_node_12893","P22_node_5802","P22_node_12835","P22_node_9249","P22_node_12574","P22_node_6973","P22_node_6434","P22_node_12894","P22_node_6477","P22_node_12895","P22_node_12896","P22_node_12838","P22_node_8881","P22_node_12897","P22_node_12898","P22_node_5288","P22_node_5880","P22_node_12899","P22_node_8997","P22_node_12900","P22_node_9228","P22_node_12901","P22_node_7022","P22_node_7023","P22_node_12902","P22_node_12903","P22_node_12904","P22_node_12905","P22_node_12906","P22_node_12907","P22_node_12908","P22_node_12909","P22_node_12910","P22_node_12911","P22_node_12912","P22_node_12913","P22_node_12914","P22_node_12915","P22_node_12916","P22_node_12917","P22_node_12918","P22_node_12919","P22_node_12920","P22_node_12921","P22_node_12922","P22_node_12923","P22_node_12924","P22_node_9279","P22_node_5912","P22_node_12925","P22_node_12855","P22_node_8922","P22_node_12926"
"P22_node_151",1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"P22_node_667",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"P22_node_3144",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
"P22_node_3241",0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
"P22_node_2903",1,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0
"P22_node_1322",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"P22_node_3242",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"P22_node_2872",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
"P22_node_1373",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_2902",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
