"","D21_node_50","D21_node_349","D21_node_658","D21_node_1052","D21_node_1053","D21_node_1224","D21_node_1327","D21_node_1048","D21_node_940","D21_node_1377","D21_node_69","D21_node_75","D21_node_508","D21_node_347"
"D21_node_166",1,0,0,1,1,0,0,1,0,0,0,0,0,0
"D21_node_200",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"D21_node_269",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"D21_node_283",0,0,0,1,1,0,0,0,0,0,0,0,0,0
"D21_node_357",0,0,0,1,1,0,0,1,1,0,0,0,0,0
"D21_node_372",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_361",0,0,1,1,1,0,0,1,1,0,0,0,0,0
"D21_node_365",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"D21_node_445",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"D21_node_446",1,0,0,0,0,0,0,0,1,0,0,0,0,0
"D21_node_487",1,0,0,1,1,0,0,1,0,0,0,0,0,0
"D21_node_530",0,1,0,1,0,0,0,0,1,1,0,0,0,0
"D21_node_562",0,0,0,1,1,0,0,1,0,0,0,1,0,0
"D21_node_574",0,0,0,1,0,0,0,0,1,0,0,0,0,0
"D21_node_580",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"D21_node_583",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"D21_node_617",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_621",1,1,1,1,1,0,1,1,0,1,0,1,0,0
"D21_node_624",1,1,0,1,1,1,0,1,1,1,0,0,0,0
"D21_node_649",0,0,0,1,1,1,0,1,0,0,0,0,1,0
"D21_node_743",0,0,0,1,1,1,0,1,0,0,0,0,0,0
"D21_node_966",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"D21_node_975",1,1,1,1,1,1,1,1,1,1,0,0,0,1
"D21_node_1074",0,0,0,1,1,0,0,0,0,0,0,0,0,0
"D21_node_1087",1,0,0,1,1,0,0,1,0,0,0,0,0,0
"D21_node_1101",1,0,0,1,1,0,0,1,0,0,0,0,0,0
"D21_node_1157",1,1,1,1,1,0,0,1,1,1,0,0,0,0
"D21_node_1205",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_1301",1,1,0,1,1,0,0,0,0,0,0,1,0,1
