"","mangal_node_1333","mangal_node_1345","mangal_node_1346","mangal_node_1347","mangal_node_0090","mangal_node_1348","mangal_node_1349","mangal_node_1339","mangal_node_1340","mangal_node_1350","mangal_node_1351","mangal_node_1342","mangal_node_1352","mangal_node_1353","mangal_node_1354","mangal_node_1355","mangal_node_1356","mangal_node_1332","mangal_node_1334","mangal_node_1335","mangal_node_1336","mangal_node_1337","mangal_node_1338","mangal_node_1341","mangal_node_1343","mangal_node_1344","mangal_node_1473","mangal_node_1613","mangal_node_1357","mangal_node_1358","mangal_node_1359","mangal_node_1360","mangal_node_1361","mangal_node_1362","mangal_node_1381","mangal_node_1382","mangal_node_1383","mangal_node_1384","mangal_node_1385","mangal_node_1386","mangal_node_1378","mangal_node_1387","mangal_node_1388","mangal_node_1389","mangal_node_1390","mangal_node_1391","mangal_node_1392","mangal_node_1393","mangal_node_1394","mangal_node_1395","mangal_node_1396","mangal_node_1375","mangal_node_1397","mangal_node_1398","mangal_node_1399","mangal_node_1400","mangal_node_1401","mangal_node_1402","mangal_node_1403","mangal_node_1404","mangal_node_1365","mangal_node_1405","mangal_node_1406","mangal_node_1407","mangal_node_1408","mangal_node_1368","mangal_node_1409","mangal_node_1410","mangal_node_1411","mangal_node_1412","mangal_node_1413","mangal_node_1414","mangal_node_1415","mangal_node_1416","mangal_node_1417","mangal_node_1418","mangal_node_1419","mangal_node_1420","mangal_node_1421","mangal_node_1422","mangal_node_1377","mangal_node_1423","mangal_node_1424","mangal_node_1425","mangal_node_1426","mangal_node_1376","mangal_node_1427","mangal_node_1428","mangal_node_1370","mangal_node_1429","mangal_node_1430","mangal_node_1367","mangal_node_1431","mangal_node_1432","mangal_node_1366","mangal_node_1433","mangal_node_1434","mangal_node_1380","mangal_node_1435","mangal_node_1436","mangal_node_1437","mangal_node_1438","mangal_node_1379","mangal_node_1439","mangal_node_1440","mangal_node_1441","mangal_node_1442","mangal_node_1443","mangal_node_1444","mangal_node_1445","mangal_node_1446","mangal_node_1447","mangal_node_1374","mangal_node_1448","mangal_node_1449","mangal_node_1450","mangal_node_1451","mangal_node_1452","mangal_node_1364","mangal_node_1453","mangal_node_1454","mangal_node_1455","mangal_node_1456","mangal_node_1457","mangal_node_1458","mangal_node_1459","mangal_node_1371","mangal_node_1373","mangal_node_1460","mangal_node_1499","mangal_node_1496","mangal_node_1491","mangal_node_1477","mangal_node_1500","mangal_node_1463","mangal_node_1501","mangal_node_1502","mangal_node_1503","mangal_node_1475","mangal_node_1497","mangal_node_1532","mangal_node_1533","mangal_node_1507","mangal_node_1529","mangal_node_1489","mangal_node_1465","mangal_node_1534","mangal_node_1553","mangal_node_1556","mangal_node_1557","mangal_node_1558","mangal_node_1562","mangal_node_1563","mangal_node_1547","mangal_node_1513","mangal_node_1539","mangal_node_1531","mangal_node_1510","mangal_node_1571","mangal_node_1582","mangal_node_1577","mangal_node_1583","mangal_node_1574","mangal_node_1584","mangal_node_1569","mangal_node_1566","mangal_node_1580","mangal_node_1567","mangal_node_1585","mangal_node_1511","mangal_node_1570","mangal_node_1526","mangal_node_1605","mangal_node_1606","mangal_node_1587","mangal_node_1527","mangal_node_1483","mangal_node_1549","mangal_node_1488","mangal_node_1472","mangal_node_1620","mangal_node_1550","mangal_node_1506","mangal_node_1593","mangal_node_1616","mangal_node_1609","mangal_node_1631","mangal_node_1520","mangal_node_1492","mangal_node_1607","mangal_node_1592","mangal_node_1504","mangal_node_1649","mangal_node_1633","mangal_node_1568","mangal_node_1598","mangal_node_1600","mangal_node_1578","mangal_node_1554","mangal_node_1624","mangal_node_1595","mangal_node_1519","mangal_node_1656","mangal_node_1665","mangal_node_1468","mangal_node_1573","mangal_node_1666","mangal_node_1667","mangal_node_1668","mangal_node_1655","mangal_node_1591","mangal_node_1619","mangal_node_1669","mangal_node_1636","mangal_node_1565","mangal_node_1688","mangal_node_1689","mangal_node_1684","mangal_node_1690","mangal_node_1652","mangal_node_1545","mangal_node_1462","mangal_node_1700","mangal_node_1661","mangal_node_1699","mangal_node_1626","mangal_node_1671","mangal_node_1524","mangal_node_1705","mangal_node_1703","mangal_node_1708","mangal_node_1525","mangal_node_1683","mangal_node_1647","mangal_node_1701","mangal_node_1704","mangal_node_1538","mangal_node_1714","mangal_node_1729","mangal_node_1721","mangal_node_1522","mangal_node_1698","mangal_node_1724","mangal_node_1588","mangal_node_1543","mangal_node_1542","mangal_node_1544","mangal_node_1485","mangal_node_1586","mangal_node_1490","mangal_node_1589","mangal_node_1664","mangal_node_1629","mangal_node_1537","mangal_node_1663","mangal_node_1692","mangal_node_1702","mangal_node_1596","mangal_node_1679","mangal_node_1639","mangal_node_1728","mangal_node_1662","mangal_node_1715","mangal_node_1678","mangal_node_1479","mangal_node_1622","mangal_node_1720","mangal_node_1535","mangal_node_1540","mangal_node_1541","mangal_node_1599","mangal_node_1601","mangal_node_1602","mangal_node_1603","mangal_node_1487","mangal_node_1638","mangal_node_1640","mangal_node_1634","mangal_node_1642","mangal_node_1517","mangal_node_1608","mangal_node_1610","mangal_node_1672","mangal_node_1676","mangal_node_1686","mangal_node_1560","mangal_node_1641","mangal_node_1635","mangal_node_1464","mangal_node_1657","mangal_node_1515","mangal_node_1572","mangal_node_1476","mangal_node_1722","mangal_node_1725","mangal_node_1717","mangal_node_1726","mangal_node_1709","mangal_node_1677","mangal_node_1727","mangal_node_1509","mangal_node_1512","mangal_node_1484","mangal_node_1518","mangal_node_1614","mangal_node_1559","mangal_node_1478","mangal_node_1691","mangal_node_1643","mangal_node_1670","mangal_node_1710","mangal_node_1733","mangal_node_1743","mangal_node_1716","mangal_node_1521","mangal_node_1546","mangal_node_1736","mangal_node_1737","mangal_node_1493","mangal_node_1467","mangal_node_1461","mangal_node_1561","mangal_node_1734","mangal_node_1735","mangal_node_1738","mangal_node_1706","mangal_node_1739","mangal_node_1564","mangal_node_1555","mangal_node_1674","mangal_node_1741","mangal_node_1742","mangal_node_1732","mangal_node_1615","mangal_node_1740","mangal_node_1579","mangal_node_1675","mangal_node_1576","mangal_node_1711","mangal_node_1694","mangal_node_1495","mangal_node_1621","mangal_node_1372","mangal_node_1646","mangal_node_1680","mangal_node_1505","mangal_node_1469","mangal_node_1470","mangal_node_1581","mangal_node_1654","mangal_node_1644","mangal_node_1363","mangal_node_1514","mangal_node_1466","mangal_node_1687","mangal_node_1471","mangal_node_1548","mangal_node_1551","mangal_node_1575","mangal_node_1718","mangal_node_1660","mangal_node_1508","mangal_node_1650","mangal_node_1730","mangal_node_1731","mangal_node_1648","mangal_node_1651","mangal_node_1653","mangal_node_1552","mangal_node_1719","mangal_node_1707","mangal_node_1681","mangal_node_1594","mangal_node_1486","mangal_node_1713","mangal_node_1645","mangal_node_1685","mangal_node_1632","mangal_node_1673","mangal_node_1474","mangal_node_1480","mangal_node_1693"
"mangal_node_0980",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mangal_node_0981",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mangal_node_0979",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mangal_node_1331",0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mangal_node_0090",1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,0,0,1,0,0,1,1,0,1,1,1,0,0,1,1,1,0,1,0,0,1,0,0,1,1,0,0,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,1,0,1,0,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0
"mangal_node_0983",0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mangal_node_0984",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mangal_node_0985",1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mangal_node_0986",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mangal_node_0987",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
