"","P22_node_10620","P22_node_5901","P22_node_10622","P22_node_12633","P22_node_5906","P22_node_12634","P22_node_8875","P22_node_10625","P22_node_12635","P22_node_10695","P22_node_5914","P22_node_11206","P22_node_5915","P22_node_5753","P22_node_5755","P22_node_12636","P22_node_10628","P22_node_10630","P22_node_10632","P22_node_10633","P22_node_12637","P22_node_12638","P22_node_12639","P22_node_10636","P22_node_10642","P22_node_10643","P22_node_5595","P22_node_7085","P22_node_6967","P22_node_5776","P22_node_10650","P22_node_10651","P22_node_10652","P22_node_12640","P22_node_12575","P22_node_10653","P22_node_10654","P22_node_12641","P22_node_10666","P22_node_12642","P22_node_10667","P22_node_12643","P22_node_12644","P22_node_12645","P22_node_5834","P22_node_12646","P22_node_10671","P22_node_8848","P22_node_12647","P22_node_9134","P22_node_8849","P22_node_10672","P22_node_12648","P22_node_5842","P22_node_10696","P22_node_9186","P22_node_11200","P22_node_12649","P22_node_12650","P22_node_5896","P22_node_10635","P22_node_12651","P22_node_12652","P22_node_12653"
"P22_node_3164",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"P22_node_3165",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_3166",0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,1,0
"P22_node_3167",0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,0,1,0
"P22_node_2091",1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0
"P22_node_3168",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"P22_node_2086",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"P22_node_2121",0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0
"P22_node_2085",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_891",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
