"","D22net4_col_1","D22net4_col_2","D22net4_col_3","D22net4_col_4","D22net4_col_6","D22net4_col_9","D22net4_col_5","D22net4_col_7","D22net4_col_8","D22net4_col_11","D22net4_col_10"
"D22net4_row_1",1,1,1,0,0,0,1,0,0,0,0
"D22net4_row_2",1,0,0,1,1,0,1,0,1,0,0
"D22net4_row_3",1,1,1,0,0,1,0,0,0,1,0
"D22net4_row_4",0,1,1,1,0,0,0,0,0,0,0
"D22net4_row_5",1,1,0,0,0,0,1,0,0,0,0
"D22net4_row_6",0,0,0,1,0,0,0,0,0,0,0
"D22net4_row_7",1,0,1,0,0,0,1,0,0,0,0
"D22net4_row_8",1,1,0,0,0,0,0,0,0,0,0
"D22net4_row_9",1,0,0,0,0,0,0,0,0,0,0
"D22net4_row_10",0,0,0,0,0,0,0,0,0,0,0
"D22net4_row_11",0,1,0,0,0,0,0,0,0,0,0
"D22net4_row_12",0,0,0,0,0,0,0,0,0,0,0
"D22net4_row_13",1,0,1,0,0,0,0,0,0,0,0
"D22net4_row_14",0,0,0,0,0,0,0,0,0,0,0
"D22net4_row_15",0,0,1,0,0,0,0,0,0,0,0
"D22net4_row_16",0,0,0,0,0,0,0,0,0,0,0
"D22net4_row_17",0,0,0,0,0,0,0,0,0,0,0
"D22net4_row_18",0,1,0,0,0,0,0,0,0,0,0
"D22net4_row_19",0,0,1,0,0,0,0,0,0,0,0
