"","P22_node_8941","P22_node_9283","P22_node_14534","P22_node_12028","P22_node_8587","P22_node_7021","P22_node_6964","P22_node_6779","P22_node_9066","P22_node_5802","P22_node_9089","P22_node_5853","P22_node_13605","P22_node_7016","P22_node_12884","P22_node_14535","P22_node_7446","P22_node_9961"
"P22_node_4055",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_4056",1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0
"P22_node_667",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_1111",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_1109",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"P22_node_396",0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1
"P22_node_257",0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
"P22_node_700",0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"P22_node_663",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"P22_node_1348",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
