"","P22_node_5544","P22_node_7030","P22_node_5853","P22_node_5354","P22_node_8783","P22_node_8995","P22_node_6964","P22_node_6966","P22_node_8785","P22_node_12033","P22_node_13068","P22_node_5802","P22_node_6971","P22_node_13070","P22_node_5535","P22_node_5198"
"P22_node_151",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"P22_node_628",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_1710",0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0
"P22_node_1749",1,1,0,1,0,1,1,1,0,1,0,1,1,0,0,1
"P22_node_342",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_3348",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"P22_node_1363",0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1
"P22_node_1696",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"P22_node_614",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
"P22_node_612",0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
"P22_node_1341",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_3320",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"P22_node_231",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
