"","M22_node_296","M22_node_380","M22_node_2281","M22_node_2406","M22_node_2314","M22_node_2455","M22_node_705","M22_node_2052","M22_node_2395","M22_node_709","M22_node_1371","M22_node_777","M22_node_778","M22_node_707","M22_node_2113","M22_node_2379","M22_node_129","M22_node_2435","M22_node_1434","M22_node_1765"
"M22_node_1528",0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0
"M22_node_1706",1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"M22_node_1321",1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0
"M22_node_2161",1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"M22_node_1915",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_2003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_1747",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_1681",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_2433",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_1531",1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"M22_node_191",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_577",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_1853",1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"M22_node_429",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_1465",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_2421",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_2356",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_412",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_2030",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_2497",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
