"","P22_node_10620","P22_node_5900","P22_node_5901","P22_node_10621","P22_node_10622","P22_node_10623","P22_node_10624","P22_node_8875","P22_node_10625","P22_node_10626","P22_node_5753","P22_node_10627","P22_node_10628","P22_node_10629","P22_node_10630","P22_node_10631","P22_node_10632","P22_node_10633","P22_node_10634","P22_node_10635","P22_node_10636","P22_node_10637","P22_node_10638","P22_node_10639","P22_node_10640","P22_node_10641","P22_node_10642","P22_node_10643","P22_node_10644","P22_node_10645","P22_node_10646","P22_node_10647","P22_node_5595","P22_node_10648","P22_node_10649","P22_node_7085","P22_node_6747","P22_node_6967","P22_node_5776","P22_node_10650","P22_node_10651","P22_node_10652","P22_node_10653","P22_node_10654","P22_node_10655","P22_node_10656","P22_node_10657","P22_node_10658","P22_node_10659","P22_node_10660","P22_node_10661","P22_node_10662","P22_node_10663","P22_node_10664","P22_node_10665","P22_node_10666","P22_node_10667","P22_node_10668","P22_node_10669","P22_node_10670","P22_node_5837","P22_node_10671","P22_node_8848","P22_node_9134","P22_node_8849","P22_node_10672","P22_node_10673","P22_node_10674","P22_node_10675","P22_node_10676","P22_node_10677","P22_node_10678","P22_node_5842","P22_node_8856","P22_node_8857","P22_node_10679","P22_node_10680","P22_node_10681","P22_node_8884","P22_node_10682","P22_node_10683","P22_node_10684","P22_node_10685","P22_node_10686","P22_node_10687","P22_node_10688","P22_node_10689","P22_node_10690","P22_node_10691","P22_node_10692","P22_node_10693","P22_node_10694","P22_node_5896","P22_node_10695","P22_node_5914","P22_node_5915","P22_node_10696"
"P22_node_2076",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
"P22_node_2077",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"P22_node_2078",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_1629",0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"P22_node_2079",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
"P22_node_2080",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_2081",0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"P22_node_2082",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"P22_node_2083",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"P22_node_2084",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
