"","D21_node_50","D21_node_69","D21_node_75","D21_node_349","D21_node_940","D21_node_227","D21_node_1377","D21_node_1052","D21_node_439","D21_node_155","D21_node_352","D21_node_660","D21_node_350","D21_node_657","D21_node_11","D21_node_154","D21_node_351","D21_node_508","D21_node_1327"
"D21_node_5",1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_56",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_143",1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"D21_node_166",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_173",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_192",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"D21_node_197",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_202",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_249",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_262",0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"D21_node_269",0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0
"D21_node_286",1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"D21_node_296",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_338",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_357",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_362",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_372",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_466",1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"D21_node_490",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_772",1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"D21_node_517",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_525",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_531",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_551",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"D21_node_552",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_553",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"D21_node_559",0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
"D21_node_579",1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"D21_node_583",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_588",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_589",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_593",1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"D21_node_617",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_640",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_665",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_691",1,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0
"D21_node_701",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1
"D21_node_719",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_748",1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"D21_node_752",1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"D21_node_760",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_771",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_814",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_815",1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"D21_node_823",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"D21_node_851",0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"D21_node_893",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_954",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_968",0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"D21_node_975",1,1,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0
"D21_node_992",1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"D21_node_1021",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_1074",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
