"","AI22_node_836","AI22_node_2990","AI22_node_3172","AI22_node_3057","AI22_node_2038","AI22_node_2367","AI22_node_3058","AI22_node_2628","AI22_node_411","AI22_node_3059","AI22_node_184","AI22_node_3060","AI22_node_644","AI22_node_171","AI22_node_331","AI22_node_2726","AI22_node_1465","AI22_node_1055","AI22_node_246","AI22_node_315","AI22_node_496","AI22_node_1564","AI22_node_2578","AI22_node_114","AI22_node_3034","AI22_node_1579","AI22_node_1554","AI22_node_1354","AI22_node_1355"
"AI22_node_3088",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AI22_node_1448",0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"AI22_node_2857",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AI22_node_2935",0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"AI22_node_1849",0,1,1,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0
"AI22_node_1758",0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"AI22_node_968",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AI22_node_2876",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
"AI22_node_1180",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AI22_node_2600",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
