"","P22_node_11079","P22_node_8729","P22_node_7878","P22_node_11085","P22_node_8023","P22_node_7198","P22_node_11086","P22_node_5326","P22_node_11087","P22_node_5354","P22_node_7045","P22_node_8744","P22_node_11084","P22_node_11088","P22_node_11089","P22_node_11090","P22_node_7877","P22_node_11091","P22_node_5584","P22_node_11092","P22_node_11093"
"P22_node_2324",1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,1,0,1,0,0
"P22_node_808",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"P22_node_2326",0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
"P22_node_2335",0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"P22_node_2336",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_2337",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_2328",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_2331",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"P22_node_1650",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_2322",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
