"","M22_node_1781","M22_node_2281","M22_node_2275","M22_node_1434","M22_node_702","M22_node_2418","M22_node_2406","M22_node_2300","M22_node_915","M22_node_940","M22_node_1638","M22_node_562","M22_node_2116","M22_node_390","M22_node_2419","M22_node_465","M22_node_1377","M22_node_750"
"M22_node_698",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"M22_node_2019",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"M22_node_2215",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_2342",1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_746",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_236",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"M22_node_4",1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0
"M22_node_1059",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_2058",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_930",1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
"M22_node_811",1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"M22_node_1417",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_1799",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_1890",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_2237",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_929",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_894",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_1415",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_576",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_685",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
