"","AI22_node_3049","AI22_node_2510","AI22_node_171","AI22_node_1045","AI22_node_3184","AI22_node_56","AI22_node_2209","AI22_node_2639","AI22_node_230","AI22_node_3353","AI22_node_2022","AI22_node_2210"
"AI22_node_2810",0,0,1,0,1,1,1,0,1,0,0,0
"AI22_node_2105",0,1,1,0,0,1,0,0,1,0,0,0
"AI22_node_3252",0,0,1,1,0,0,1,0,0,0,0,0
"AI22_node_2094",0,0,0,0,0,0,0,0,0,0,0,0
"AI22_node_2104",0,0,1,0,0,1,0,1,0,0,0,0
"AI22_node_2838",0,0,1,0,0,0,0,0,0,0,0,0
"AI22_node_2762",0,0,1,0,0,0,0,0,0,1,0,0
"AI22_node_345",0,0,1,0,0,0,0,0,0,0,0,0
"AI22_node_3198",0,0,1,0,0,0,0,0,0,0,0,0
"AI22_node_2088",0,0,1,0,0,0,0,0,0,0,0,0
"AI22_node_1608",0,0,1,0,0,0,0,0,0,0,0,0
"AI22_node_2098",0,0,1,0,0,0,0,0,0,0,0,0
"AI22_node_2877",0,0,1,0,0,0,0,0,0,0,0,0
