"","TI_HERB_4505","TI_HERB_4506","TI_HERB_4169","TI_HERB_4380","TI_HERB_4324","TI_HERB_4170","TI_HERB_4172","TI_HERB_4257","TI_HERB_4260","TI_HERB_4174","TI_HERB_4177","TI_HERB_4178","TI_HERB_4383","TI_HERB_4179","TI_HERB_4180","TI_HERB_4181","TI_HERB_4183","TI_HERB_4185","TI_HERB_4186","TI_HERB_4265","TI_HERB_4330","TI_HERB_4191","TI_HERB_4387","TI_HERB_4192","TI_HERB_4269","TI_HERB_4193","TI_HERB_4388","TI_HERB_4331","TI_HERB_4332","TI_HERB_4272","TI_HERB_4273","TI_HERB_4333","TI_HERB_4274","TI_HERB_4196","TI_HERB_4507","TI_HERB_4508","TI_HERB_4509","TI_HERB_4198","TI_HERB_4510","TI_HERB_4200","TI_HERB_4392","TI_HERB_4202","TI_HERB_4394","TI_HERB_4511","TI_HERB_4512","TI_HERB_4513","TI_HERB_4209","TI_HERB_4483","TI_HERB_4341","TI_HERB_4514","TI_HERB_4210","TI_HERB_4212","TI_HERB_4291","TI_HERB_4515","TI_HERB_4516","TI_HERB_4484","TI_HERB_4215","TI_HERB_4217","TI_HERB_4220","TI_HERB_4403","TI_HERB_4293","TI_HERB_4350","TI_HERB_4517","TI_HERB_4518","TI_HERB_4224","TI_HERB_4296","TI_HERB_4225","TI_HERB_4519","TI_HERB_4520","TI_HERB_4231","TI_HERB_4303","TI_HERB_4521","TI_HERB_4232","TI_HERB_4233","TI_HERB_4522","TI_HERB_4523","TI_HERB_4524","TI_HERB_4525","TI_HERB_4526","TI_HERB_4424","TI_HERB_4468","TI_HERB_4307","TI_HERB_4427","TI_HERB_4527","TI_HERB_4314","TI_HERB_4528","TI_HERB_4529","TI_HERB_4530","TI_HERB_4531","TI_HERB_4532","TI_HERB_4533","TI_HERB_4534","TI_HERB_4535","TI_HERB_4536","TI_HERB_4376","TI_HERB_4537","TI_HERB_4251"
"TI_PLANT_3802",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_3803",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_3702",0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TI_PLANT_3713",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"TI_PLANT_3715",1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"TI_PLANT_3728",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_3721",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_3748",0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TI_PLANT_3735",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_3804",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
