"","P22_node_8729","P22_node_11080","P22_node_14787","P22_node_5354","P22_node_14113","P22_node_14596","P22_node_7272","P22_node_7249","P22_node_14619","P22_node_13830","P22_node_10859","P22_node_14624","P22_node_14625","P22_node_7805","P22_node_8210","P22_node_14685","P22_node_14788","P22_node_6858","P22_node_5119","P22_node_14743","P22_node_14789","P22_node_14666","P22_node_8744","P22_node_5376","P22_node_14591","P22_node_14790","P22_node_14745","P22_node_13387","P22_node_14594","P22_node_12774","P22_node_14639","P22_node_14791","P22_node_14792","P22_node_14749","P22_node_12776","P22_node_14641","P22_node_14793","P22_node_12778","P22_node_12779","P22_node_14605","P22_node_14632","P22_node_14735","P22_node_14609","P22_node_14644","P22_node_7291","P22_node_14611","P22_node_14612","P22_node_7654","P22_node_14613","P22_node_14615","P22_node_14700","P22_node_14794","P22_node_14702","P22_node_14795","P22_node_14678","P22_node_7958","P22_node_7734","P22_node_14783","P22_node_14631","P22_node_11567","P22_node_14655","P22_node_14658","P22_node_14796","P22_node_8314","P22_node_7063","P22_node_8428"
"P22_node_784",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"P22_node_4084",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"P22_node_178",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_4069",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_743",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_1100",1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_4072",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"P22_node_4077",1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0
"P22_node_4083",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"P22_node_151",1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
