"","M22_node_125","M22_node_220","M22_node_1545","M22_node_2216","M22_node_2292","M22_node_124","M22_node_1715","M22_node_1140","M22_node_1820","M22_node_1700","M22_node_1514","M22_node_1822","M22_node_2399","M22_node_2525","M22_node_1950"
"M22_node_669",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_843",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"M22_node_151",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"M22_node_1085",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"M22_node_1177",1,0,1,1,1,1,0,1,0,0,0,0,0,1,0
"M22_node_1186",0,0,0,1,0,0,1,0,0,0,1,1,1,0,1
"M22_node_1651",1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
"M22_node_1920",1,0,0,1,0,0,0,1,1,1,0,0,0,0,1
"M22_node_2317",1,0,1,1,0,0,1,0,0,0,0,0,1,0,1
"M22_node_2343",1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
