"","WOL_node_476","WOL_node_477","WOL_node_1281","WOL_node_1538","WOL_node_1982","WOL_node_4813","WOL_node_5352","WOL_node_6161","WOL_node_7239","WOL_node_7277","WOL_node_7278","WOL_node_8053","WOL_node_8245","WOL_node_8247","WOL_node_8246","WOL_node_9043","WOL_node_10806","WOL_node_12383","WOL_node_12838","WOL_node_12839","WOL_node_1537","WOL_node_5431","WOL_node_4457","WOL_node_550","WOL_node_8286","WOL_node_5351"
"WOL_node_1677",1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1
"WOL_node_4736",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"WOL_node_1031",1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1
"WOL_node_6347",1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_1991",0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_2753",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"WOL_node_9955",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_9956",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_3014",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
"WOL_node_5000",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_5001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_5002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_141",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
