"","AI22_node_123","AI22_node_3053","AI22_node_171","AI22_node_411","AI22_node_2032","AI22_node_1388","AI22_node_2022","AI22_node_2380","AI22_node_2382","AI22_node_3046","AI22_node_3049","AI22_node_3180","AI22_node_3181","AI22_node_3182","AI22_node_3183","AI22_node_3184","AI22_node_3355","AI22_node_3360","AI22_node_280","AI22_node_1507","AI22_node_1508"
"AI22_node_1225",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
"AI22_node_394",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"AI22_node_223",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"AI22_node_2665",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"AI22_node_756",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AI22_node_1796",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AI22_node_2712",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"AI22_node_1713",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
"AI22_node_955",1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"AI22_node_1753",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"AI22_node_2418",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AI22_node_2397",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
"AI22_node_2882",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"AI22_node_1748",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"AI22_node_700",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AI22_node_74",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"AI22_node_2762",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"AI22_node_938",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AI22_node_2839",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AI22_node_2407",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
