"","D21_node_51","D21_node_608","D21_node_11","D21_node_299","D21_node_342","D21_node_351","D21_node_602","D21_node_940","D21_node_439","D21_node_759","D21_node_347","D21_node_660","D21_node_1052","D21_node_350","D21_node_504"
"D21_node_141",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"D21_node_143",0,1,1,0,1,0,0,0,0,0,1,1,0,0,0
"D21_node_158",1,0,0,0,1,1,1,0,0,0,1,0,1,0,0
"D21_node_165",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"D21_node_167",0,1,0,1,1,0,0,1,1,0,1,1,1,1,0
"D21_node_259",0,1,1,0,1,0,0,0,0,0,1,1,0,0,1
"D21_node_264",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"D21_node_267",1,1,0,0,1,0,0,0,1,1,0,0,0,0,0
"D21_node_275",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"D21_node_277",1,1,1,0,1,0,1,1,0,1,1,1,1,1,0
"D21_node_358",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_370",0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"D21_node_372",1,1,1,0,1,0,1,1,0,0,0,1,1,0,0
"D21_node_454",0,1,0,0,1,0,1,1,0,0,1,0,1,0,0
"D21_node_523",1,1,1,0,0,0,1,1,1,0,1,1,1,1,0
"D21_node_527",1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
"D21_node_558",1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"D21_node_560",1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
"D21_node_563",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_581",1,0,1,0,1,0,1,1,0,1,0,0,1,1,1
"D21_node_586",0,1,1,0,1,0,0,0,1,1,0,0,0,0,0
"D21_node_617",0,1,0,0,1,0,0,0,1,0,1,0,0,1,0
"D21_node_621",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_638",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"D21_node_648",1,1,1,0,1,0,0,0,0,0,0,0,1,0,0
"D21_node_709",1,1,0,1,1,1,1,1,0,1,0,1,1,0,0
"D21_node_750",1,1,1,0,1,0,1,0,1,1,1,0,1,0,0
"D21_node_751",1,0,1,0,1,0,0,0,1,1,1,0,0,0,0
"D21_node_752",1,1,1,1,1,0,1,0,1,0,1,1,1,1,0
"D21_node_754",1,1,1,0,1,1,1,0,0,1,1,1,0,0,1
"D21_node_756",0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
"D21_node_818",0,0,0,1,1,0,1,0,0,0,0,0,1,0,0
"D21_node_863",0,0,1,0,1,0,1,0,1,1,0,0,0,1,0
"D21_node_868",1,0,1,1,1,0,1,0,0,0,1,0,1,1,0
"D21_node_966",1,1,1,0,0,1,1,1,1,1,1,1,1,1,0
"D21_node_969",0,1,1,0,1,1,1,1,0,1,1,0,1,1,0
"D21_node_974",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"D21_node_987",1,0,0,0,1,1,1,0,0,0,1,1,0,1,0
"D21_node_1077",1,0,1,0,1,0,1,0,0,1,1,0,1,1,0
"D21_node_1153",0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
"D21_node_1206",0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
"D21_node_1265",0,0,1,0,1,0,1,0,0,0,0,0,1,0,0
"D21_node_1295",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"D21_node_1299",1,1,1,0,1,0,0,1,0,0,0,0,0,1,0
"D21_node_1332",0,1,1,1,1,1,0,0,0,0,1,1,1,1,0
"D21_node_1424",0,0,0,1,1,0,0,0,1,0,0,1,1,0,0
