"","TI_HERB_4254","TI_HERB_4476","TI_HERB_4324","TI_HERB_4257","TI_HERB_4381","TI_HERB_4477","TI_HERB_4174","TI_HERB_4478","TI_HERB_4176","TI_HERB_4178","TI_HERB_4180","TI_HERB_4384","TI_HERB_4181","TI_HERB_4183","TI_HERB_4184","TI_HERB_4186","TI_HERB_4385","TI_HERB_4265","TI_HERB_4386","TI_HERB_4187","TI_HERB_4479","TI_HERB_4189","TI_HERB_4191","TI_HERB_4192","TI_HERB_4270","TI_HERB_4480","TI_HERB_4274","TI_HERB_4334","TI_HERB_4198","TI_HERB_4335","TI_HERB_4276","TI_HERB_4481","TI_HERB_4204","TI_HERB_4281","TI_HERB_4205","TI_HERB_4206","TI_HERB_4207","TI_HERB_4208","TI_HERB_4482","TI_HERB_4483","TI_HERB_4210","TI_HERB_4396","TI_HERB_4456","TI_HERB_4211","TI_HERB_4212","TI_HERB_4213","TI_HERB_4291","TI_HERB_4292","TI_HERB_4484","TI_HERB_4218","TI_HERB_4403","TI_HERB_4485","TI_HERB_4351","TI_HERB_4296","TI_HERB_4486","TI_HERB_4487","TI_HERB_4488","TI_HERB_4352","TI_HERB_4489","TI_HERB_4412","TI_HERB_4490","TI_HERB_4231","TI_HERB_4491","TI_HERB_4492","TI_HERB_4355","TI_HERB_4493","TI_HERB_4423","TI_HERB_4303","TI_HERB_4363","TI_HERB_4307","TI_HERB_4365","TI_HERB_4427","TI_HERB_4428","TI_HERB_4494","TI_HERB_4495","TI_HERB_4496","TI_HERB_4366","TI_HERB_4497","TI_HERB_4498","TI_HERB_4499","TI_HERB_4500","TI_HERB_4501","TI_HERB_4502","TI_HERB_4503","TI_HERB_4504","TI_HERB_4247","TI_HERB_4250","TI_HERB_4251","TI_HERB_4448","TI_HERB_4252"
"TI_PLANT_3717",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_3713",0,0,1,0,1,0,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,1,0,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1
"TI_PLANT_3714",0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0
"TI_PLANT_3723",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_3708",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"TI_PLANT_3721",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
"TI_PLANT_3715",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_3724",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_3778",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_3775",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
