"","P22_node_10743","P22_node_10744","P22_node_10745","P22_node_9322","P22_node_9456","P22_node_9323","P22_node_5354","P22_node_5142","P22_node_10746","P22_node_10747","P22_node_10748","P22_node_10749","P22_node_10750","P22_node_10751","P22_node_10752","P22_node_10753","P22_node_10754","P22_node_10755","P22_node_10756","P22_node_9465","P22_node_9466","P22_node_10757","P22_node_5385","P22_node_5138","P22_node_10758","P22_node_10759","P22_node_10760","P22_node_7099","P22_node_9467","P22_node_10761","P22_node_10762","P22_node_10763","P22_node_10764","P22_node_10765","P22_node_10766","P22_node_10767","P22_node_10768","P22_node_10769","P22_node_9469","P22_node_9460","P22_node_10770","P22_node_9474","P22_node_9475","P22_node_9476","P22_node_9477","P22_node_10771","P22_node_10772","P22_node_9327","P22_node_10773","P22_node_9330","P22_node_10774","P22_node_10775","P22_node_10776","P22_node_10777","P22_node_10778","P22_node_9332","P22_node_10779","P22_node_9333","P22_node_10780","P22_node_10781"
"P22_node_1398",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_1521",0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"P22_node_1495",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0
"P22_node_1494",0,0,0,0,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0
"P22_node_1485",0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0
"P22_node_1483",0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
"P22_node_1491",0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0
"P22_node_539",0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
"P22_node_1510",0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"P22_node_1520",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
