"","M22_node_2399","M22_node_125","M22_node_1717","M22_node_2216","M22_node_124","M22_node_476","M22_node_1514","M22_node_1545","M22_node_1715","M22_node_1700","M22_node_2292","M22_node_1824","M22_node_1730","M22_node_1820","M22_node_2525"
"M22_node_171",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_1085",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"M22_node_1177",1,1,1,0,1,1,0,0,1,1,0,0,0,1,0
"M22_node_1217",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_1920",0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
"M22_node_2035",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"M22_node_2046",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"M22_node_137",1,1,0,1,1,0,1,0,1,1,1,0,1,1,1
"M22_node_2135",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"M22_node_2343",1,1,0,1,1,0,0,0,1,0,1,0,0,0,0
