"","P22_node_11079","P22_node_7198","P22_node_11080","P22_node_5326","P22_node_11081","P22_node_5354","P22_node_7045","P22_node_8744","P22_node_7136","P22_node_7322","P22_node_11082","P22_node_11083","P22_node_11084","P22_node_7063","P22_node_7877","P22_node_5584"
"P22_node_2319",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"P22_node_2320",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_2321",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_2322",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"P22_node_2323",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_2324",0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0
"P22_node_2325",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_2326",0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0
"P22_node_2327",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"P22_node_2328",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"P22_node_2329",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_1650",0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
"P22_node_2330",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"P22_node_2331",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_2332",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"P22_node_2333",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_2334",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
