"","AI22_node_171","AI22_node_410","AI22_node_615","AI22_node_659","AI22_node_661","AI22_node_636","AI22_node_644","AI22_node_647","AI22_node_652","AI22_node_1212","AI22_node_1386","AI22_node_1387","AI22_node_1389","AI22_node_1464","AI22_node_2024","AI22_node_2371","AI22_node_3085","AI22_node_3184","AI22_node_3354","AI22_node_3365","AI22_node_3366","AI22_node_821","AI22_node_270","AI22_node_308","AI22_node_312","AI22_node_315","AI22_node_327"
"AI22_node_80",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"AI22_node_218",1,0,1,0,1,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1
"AI22_node_1802",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"AI22_node_1240",1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0
"AI22_node_2273",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0
"AI22_node_2846",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
"AI22_node_2327",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"AI22_node_484",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"AI22_node_943",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AI22_node_9",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
