"","WOL_node_4310","WOL_node_2066","WOL_node_10201","WOL_node_10119","WOL_node_4569","WOL_node_15448","WOL_node_2417","WOL_node_10649","WOL_node_11483","WOL_node_11012","WOL_node_15287","WOL_node_9387","WOL_node_11145","WOL_node_6871","WOL_node_11138","WOL_node_10842","WOL_node_2254"
"WOL_node_9937",0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
"WOL_node_8652",1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0
"WOL_node_4938",0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0
"WOL_node_11722",0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"WOL_node_9936",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"WOL_node_3089",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_12123",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_9935",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"WOL_node_10320",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_4939",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"WOL_node_12887",1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0
"WOL_node_13603",1,1,0,1,0,1,0,0,1,1,1,0,1,1,0,1,0
"WOL_node_12522",1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"WOL_node_14121",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"WOL_node_11818",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"WOL_node_14495",1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
"WOL_node_9398",1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
"WOL_node_4251",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"WOL_node_3856",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_52",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"WOL_node_14745",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_14875",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_14994",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_15088",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_15179",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_6817",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
