"","mangal_node_3351","mangal_node_3385","mangal_node_3437","mangal_node_3378","mangal_node_3372","mangal_node_3412","mangal_node_3350","mangal_node_3349","mangal_node_3374","mangal_node_3384","mangal_node_3357","mangal_node_3308","mangal_node_3311"
"mangal_node_3415",1,0,0,0,0,0,1,0,1,1,0,0,0
"mangal_node_3418",1,0,0,0,1,0,1,0,1,1,0,1,1
"mangal_node_3487",1,0,0,0,0,0,0,0,1,1,0,0,0
"mangal_node_3294",1,0,0,0,1,0,0,0,1,1,0,0,0
"mangal_node_3427",0,0,0,0,0,0,0,0,1,0,0,0,0
"mangal_node_3496",1,0,1,0,0,0,0,0,0,0,0,0,0
"mangal_node_3329",0,0,0,0,0,0,0,0,0,0,0,0,0
"mangal_node_3387",1,1,0,0,0,0,0,0,0,0,0,0,0
"mangal_node_3494",0,0,0,0,0,0,1,0,0,0,0,0,0
"mangal_node_3334",0,0,0,0,0,0,0,0,0,0,0,0,0
"mangal_node_3390",1,0,0,0,0,0,0,0,1,0,1,0,0
"mangal_node_3335",0,0,0,0,0,0,0,0,1,0,0,0,0
"mangal_node_3327",0,0,0,0,0,0,0,0,0,0,0,0,0
"mangal_node_3407",0,0,1,1,0,0,0,0,1,0,0,0,0
