"","TI_HERB_973","TI_HERB_974","TI_HERB_975","TI_HERB_976","TI_HERB_977","TI_HERB_978","TI_HERB_979","TI_HERB_980","TI_HERB_981","TI_HERB_982","TI_HERB_983","TI_HERB_984","TI_HERB_985","TI_HERB_986","TI_HERB_987","TI_HERB_988","TI_HERB_989","TI_HERB_990","TI_HERB_991","TI_HERB_992","TI_HERB_993","TI_HERB_994","TI_HERB_995","TI_HERB_996","TI_HERB_997","TI_HERB_998","TI_HERB_999","TI_HERB_1000","TI_HERB_1001","TI_HERB_1002","TI_HERB_1003","TI_HERB_1004","TI_HERB_1005","TI_HERB_1006","TI_HERB_1007","TI_HERB_1008","TI_HERB_1009","TI_HERB_1010","TI_HERB_1011","TI_HERB_1012","TI_HERB_1013","TI_HERB_1014","TI_HERB_1015","TI_HERB_1016","TI_HERB_1017","TI_HERB_1018","TI_HERB_1019","TI_HERB_1020","TI_HERB_1021","TI_HERB_1022","TI_HERB_1023","TI_HERB_1024","TI_HERB_1025","TI_HERB_1026","TI_HERB_1027","TI_HERB_1028","TI_HERB_1029","TI_HERB_1030","TI_HERB_1031","TI_HERB_1032","TI_HERB_1033","TI_HERB_1034","TI_HERB_1035","TI_HERB_1036","TI_HERB_1037","TI_HERB_1038","TI_HERB_1039","TI_HERB_1040","TI_HERB_1041","TI_HERB_1042","TI_HERB_1043","TI_HERB_1044","TI_HERB_1045","TI_HERB_1046","TI_HERB_1047","TI_HERB_1048","TI_HERB_1049","TI_HERB_1050","TI_HERB_1051","TI_HERB_1052","TI_HERB_1053","TI_HERB_1054","TI_HERB_1055","TI_HERB_1056","TI_HERB_1057","TI_HERB_1058","TI_HERB_1059","TI_HERB_1060","TI_HERB_1061","TI_HERB_1062","TI_HERB_1063","TI_HERB_1064","TI_HERB_1065","TI_HERB_1066","TI_HERB_1067","TI_HERB_1068","TI_HERB_1069","TI_HERB_1070","TI_HERB_1071","TI_HERB_1072","TI_HERB_1073","TI_HERB_1074","TI_HERB_1075","TI_HERB_1076","TI_HERB_1077","TI_HERB_1078","TI_HERB_1079","TI_HERB_1080","TI_HERB_1081","TI_HERB_1082"
"TI_PLANT_874",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_875",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_876",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_877",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"TI_PLANT_878",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_879",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_880",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_881",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_882",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"TI_PLANT_883",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
