"","P22_node_13069","P22_node_7030","P22_node_6966","P22_node_5802","P22_node_13000","P22_node_5354","P22_node_8995","P22_node_6964","P22_node_5771","P22_node_8785","P22_node_12033","P22_node_12059","P22_node_9126","P22_node_9176","P22_node_6434","P22_node_8908","P22_node_5198"
"P22_node_151",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"P22_node_2873",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"P22_node_1307",0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"P22_node_1355",0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0
"P22_node_609",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_1350",0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0
"P22_node_1299",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_1341",0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0
"P22_node_3344",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_614",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_1374",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"P22_node_3345",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"P22_node_3319",0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
"P22_node_608",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"P22_node_3346",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_396",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_1311",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_3347",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_1363",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
