"","TI_HERB_4013","TI_HERB_4014","TI_HERB_4015","TI_HERB_4016","TI_HERB_4017","TI_HERB_4018","TI_HERB_4019","TI_HERB_4020","TI_HERB_4021","TI_HERB_4022","TI_HERB_4023","TI_HERB_4024","TI_HERB_4025","TI_HERB_4026","TI_HERB_4027","TI_HERB_4028","TI_HERB_4029","TI_HERB_4030","TI_HERB_4031","TI_HERB_4032","TI_HERB_4033","TI_HERB_4034","TI_HERB_4035","TI_HERB_4036","TI_HERB_4037","TI_HERB_4038","TI_HERB_4039","TI_HERB_1944","TI_HERB_4040","TI_HERB_4041","TI_HERB_4042","TI_HERB_4043","TI_HERB_4044","TI_HERB_4045","TI_HERB_4046","TI_HERB_4047","TI_HERB_4048","TI_HERB_4049","TI_HERB_4050","TI_HERB_4051","TI_HERB_4052","TI_HERB_4053","TI_HERB_4054","TI_HERB_4055","TI_HERB_4056","TI_HERB_4057","TI_HERB_4058","TI_HERB_4059","TI_HERB_4060","TI_HERB_4061","TI_HERB_4062","TI_HERB_4063","TI_HERB_4064","TI_HERB_4065","TI_HERB_4066","TI_HERB_4067","TI_HERB_4068","TI_HERB_4069","TI_HERB_4070","TI_HERB_4071","TI_HERB_4072","TI_HERB_4073","TI_HERB_4074","TI_HERB_4075","TI_HERB_4076","TI_HERB_4077","TI_HERB_4078","TI_HERB_4079","TI_HERB_4080","TI_HERB_4081","TI_HERB_4082","TI_HERB_4083","TI_HERB_4084","TI_HERB_4085","TI_HERB_4086","TI_HERB_4087","TI_HERB_4088","TI_HERB_4089","TI_HERB_4090","TI_HERB_4091","TI_HERB_4092","TI_HERB_4093","TI_HERB_4094","TI_HERB_4095","TI_HERB_4096","TI_HERB_4097","TI_HERB_4098","TI_HERB_4099","TI_HERB_4100","TI_HERB_4101","TI_HERB_4102","TI_HERB_4103","TI_HERB_4104"
"TI_PLANT_3304",0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_3305",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_3306",0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
"TI_PLANT_3307",0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"TI_PLANT_728",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_3308",0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_3309",0,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"TI_PLANT_3310",1,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_3311",0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_3312",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
