"","M22_node_380","M22_node_2281","M22_node_1765","M22_node_2455","M22_node_296","M22_node_585","M22_node_2515","M22_node_2113","M22_node_2406","M22_node_699","M22_node_142","M22_node_1685","M22_node_2395","M22_node_1586","M22_node_1429","M22_node_471","M22_node_1434"
"M22_node_2433",1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1
"M22_node_1812",1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,0,1
"M22_node_2496",1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"M22_node_2096",1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0
"M22_node_766",1,1,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0
"M22_node_48",1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
"M22_node_2003",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_1038",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"M22_node_191",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_2061",1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"M22_node_2444",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"M22_node_2065",1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"M22_node_1404",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
