Name,Nrow,Ncol,Is connected,lat,long
A_HP_Arai_mcgregor,14,51,TRUE,54.08492901,-121.1695552
A_HP_Arai_parsnip,17,53,TRUE,54.71645792,-122.4012495
A_HP_Arthur1976,7,29,TRUE,-33.28304357,-70.2666709
A_HP_Bangham1955,33,97,TRUE,45.58995046,-81.99350854
A_HP_Belay10,20,11,TRUE,36.09784164,-111.6905363
A_HP_Belay13,83,21,TRUE,-22.7978604,-43.62467229
A_HP_Belay14,14,8,TRUE,54.71941254,17.39419344
A_HP_Belay15,15,6,TRUE,35.55204794,46.12972216
A_HP_Belay2,285,46,TRUE,-22.7738605,-53.27817108
A_HP_Belay23,29,11,TRUE,46.62718893,17.14334182
A_HP_Belay25,24,48,TRUE,57.45485573,27.09381253
A_HP_Belay26,89,48,TRUE,56.35028403,27.44519134
A_HP_Belay27,40,13,TRUE,16.82020541,-99.73322925
A_HP_Belay30,34,10,TRUE,16.90950103,-99.97417642
A_HP_Carvalheiro2008,16,35,TRUE,51.45786542,-2.628111369
A_HP_Chinniah1978,5,23,TRUE,54.1605729,-64.37441352
A_HP_daGraca,24,17,TRUE,-22.60504958,-52.88130772
A_HP_Dechtiar1972,31,144,TRUE,49.16475674,-94.54238923
A_HP_Font,8,13,TRUE,20.83633881,-156.3590614
A_HP_Hadfield_2013_001,10,18,TRUE,42.01353277,42.65180911
A_HP_Hadfield_2013_002,17,23,TRUE,51.16686222,71.41674779
A_HP_Hadfield_2013_003,22,8,TRUE,49.00060986,89.00003333
A_HP_Hadfield_2013_004,5,20,TRUE,50.28373767,127.5335019
A_HP_Hadfield_2013_005,7,13,TRUE,49.81212,129.81278
A_HP_Hadfield_2013_006,16,37,TRUE,40.183529,44.516602
A_HP_Hadfield_2013_007,8,17,TRUE,66.4,129.166667
A_HP_Hadfield_2013_008,6,20,TRUE,42.316667,69.595833
A_HP_Hadfield_2013_009,13,21,TRUE,45,80
A_HP_Hadfield_2013_010,18,31,TRUE,46.166667,74.333333
A_HP_Hadfield_2013_012,7,23,TRUE,38.7775,68.423056
A_HP_Hadfield_2013_013,11,22,TRUE,47.256864,52.064209
A_HP_Hadfield_2013_014,11,19,TRUE,43.583333,43.4
A_HP_Hadfield_2013_016,5,20,TRUE,48.483333,135.066667
A_HP_Hadfield_2013_017,5,9,TRUE,42.435906,130.611006
A_HP_Hadfield_2013_018,15,21,TRUE,57.766667,40.933333
A_HP_Hadfield_2013_019,9,18,TRUE,56.016667,93.066667
A_HP_Hadfield_2013_020,15,16,TRUE,55.566667,64.75
A_HP_Hadfield_2013_021,9,15,TRUE,51.716667,36.183333
A_HP_Hadfield_2013_022,16,18,TRUE,53.2,63.633333
A_HP_Hadfield_2013_023,9,8,TRUE,58.066256,59.002075
A_HP_Hadfield_2013_024,6,19,TRUE,47.5,100
A_HP_Hadfield_2013_025,15,37,TRUE,47.569114,99.162598
A_HP_Hadfield_2013_026,15,18,TRUE,55.75,37.616667
A_HP_Hadfield_2013_027,15,28,TRUE,44.284045,72.948189
A_HP_Hadfield_2013_029,15,34,TRUE,42.866667,74.6
A_HP_Hadfield_2013_030,13,14,TRUE,65.694476,148.710938
A_HP_Hadfield_2013_031,22,28,TRUE,55.016667,82.933333
A_HP_Hadfield_2013_032,11,10,TRUE,52.3,76.95
A_HP_Hadfield_2013_033,22,25,TRUE,52.233333,21.016667
A_HP_Hadfield_2013_034,9,8,TRUE,65.127638,60.644531
A_HP_Hadfield_2013_035,6,7,TRUE,55.95,-3.183333
A_HP_Hadfield_2013_036,8,13,TRUE,49.261111,100.679167
A_HP_Hadfield_2013_037,17,21,TRUE,48.719961,19.493866
A_HP_Hadfield_2013_038,9,19,TRUE,39.661742,46.761932
A_HP_Hadfield_2013_039,6,11,TRUE,63.708677,15.484886
A_HP_Hadfield_2013_040,6,16,TRUE,43.175123,74.66506
A_HP_Hadfield_2013_041,11,10,TRUE,72.659588,96.152344
A_HP_Hadfield_2013_042,18,28,TRUE,47.734879,82.036028
A_HP_Hadfield_2013_043,8,28,TRUE,42.153056,78.436667
A_HP_Hadfield_2013_044,27,26,TRUE,54.562508,75.591431
A_HP_Hadfield_2013_045,7,16,TRUE,43.05,77.25
A_HP_Hadfield_2013_046,17,39,TRUE,39.588757,58.952637
A_HP_Hadfield_2013_047,10,23,TRUE,51.851049,95.765076
A_HP_Hadfield_2013_048,12,14,TRUE,51.420062,52.362815
A_HP_Hadfield_2013_049,5,19,TRUE,46.61596,134.004707
A_HP_Hadfield_2013_050,26,34,TRUE,55.332269,49.724121
A_HP_Hadfield_2013_051,13,26,TRUE,52.192456,93.644714
A_HP_Lecorff2000,36,78,TRUE,37.05160012,-91.05764788
A_HP_Leong1981,10,40,TRUE,54.51725852,-110.0000493
A_HP_Macfadyen2009_paras-herb_A1,30,19,TRUE,51.42307251,-2.680447185
A_HP_Macfadyen2009_paras-herb_A10,24,7,TRUE,51.14258444,-2.289223297
A_HP_Macfadyen2009_paras-herb_A2,27,10,TRUE,51.2925534,-2.60256436
A_HP_Macfadyen2009_paras-herb_A3,17,7,TRUE,51.29746673,-2.406678897
A_HP_Macfadyen2009_paras-herb_A4,24,11,TRUE,51.12692745,-2.327262707
A_HP_Macfadyen2009_paras-herb_A5,27,12,TRUE,51.07008964,-2.432361677
A_HP_Macfadyen2009_paras-herb_A6,21,8,TRUE,51.61551794,-2.343713842
A_HP_Macfadyen2009_paras-herb_A7,17,8,TRUE,51.6949232,-2.108547878
A_HP_Macfadyen2009_paras-herb_A8,34,12,TRUE,51.63938213,-2.176825623
A_HP_Macfadyen2009_paras-herb_A9,15,5,TRUE,51.6857288,-2.014767516
A_HP_Macfadyen2009_paras-herb_B1,22,9,TRUE,51.42194767,-2.680395819
A_HP_Macfadyen2009_paras-herb_B2,18,7,TRUE,51.29181428,-2.602788531
A_HP_Macfadyen2009_paras-herb_B3,19,9,TRUE,51.29732281,-2.406613058
A_HP_Macfadyen2009_paras-herb_B4,17,8,TRUE,51.12680135,-2.327211473
A_HP_Macfadyen2009_paras-herb_B5,23,9,TRUE,51.06963989,-2.432254388
A_HP_Macfadyen2009_paras-herb_B6,14,7,TRUE,51.61513988,-2.343643288
A_HP_Macfadyen2009_paras-herb_B7,16,5,TRUE,51.69463059,-2.108429861
A_HP_Macfadyen2009_paras-herb_B8,21,7,TRUE,51.63903537,-2.176955131
A_HP_Mendonca,24,10,TRUE,-11.81432429,-55.41047487
A_HP_Pilosof2013_1982,17,50,TRUE,54.85660304,83.10648788
A_HP_Pilosof2013_1983,15,45,TRUE,54.85660304,83.10648788
A_HP_Pilosof2013_1984,14,48,TRUE,54.85660304,83.10648788
A_HP_Pilosof2013_1985,13,36,TRUE,54.85660304,83.10648788
A_HP_Pilosof2013_1986,16,40,TRUE,54.85660304,83.10648788
A_HP_Pilosof2013_1987,14,30,TRUE,54.85660304,83.10648788
A_HP_Rauque,6,6,TRUE,-41.06585775,-71.5498862
A_HP_Stireman2003,33,39,TRUE,31.85976748,-110.7693135
A_HP_Sugiura2007,7,28,TRUE,35.06772044,135.7667203
A_PH_Basset1996,8,27,TRUE,-7.399793734,146.7333384
A_PH_Bergamini,19,52,TRUE,-21.87803962,-47.80030308
A_PH_Coley2006,33,38,TRUE,9.164752851,-79.84451048
A_PH_HennemanXXXX-1,18,19,TRUE,22.15341035,-159.6032971
A_PH_HennemanXXXX-2,22,21,TRUE,22.15341035,-159.6032971
A_PH_Ibanez2013,24,26,TRUE,45.03827039,6.403790295
A_PH_Janzen1980,9,8,TRUE,10.83338384,-85.70236502
A_PH_Janzen2003,464,157,TRUE,10.86430496,-85.62324918
A_PH_Joern-Altuda,22,52,TRUE,30.33588255,-103.3565913
A_PH_Joern-Marathon,22,51,TRUE,30.20541731,-103.4115229
A_PH_Lewis2002,9,21,TRUE,16.74032307,-88.98393627
A_PH_Macfadyen2009_plant-herb_A1,65,13,TRUE,51.42176034,-2.680309988
A_PH_Macfadyen2009_plant-herb_A10,31,6,TRUE,51.14235007,-2.289231075
A_PH_Macfadyen2009_plant-herb_A2,45,8,TRUE,51.29180087,-2.602809988
A_PH_Macfadyen2009_plant-herb_A3,53,11,TRUE,51.29736977,-2.406720346
A_PH_Macfadyen2009_plant-herb_A4,21,10,TRUE,51.12680135,-2.327211473
A_PH_Macfadyen2009_plant-herb_A5,21,9,TRUE,51.06959615,-2.432267508
A_PH_Macfadyen2009_plant-herb_A6,19,10,TRUE,51.61516653,-2.343589644
A_PH_Macfadyen2009_plant-herb_A7,32,7,TRUE,51.69453748,-2.108333302
A_PH_Macfadyen2009_plant-herb_A8,59,22,TRUE,51.68543077,-2.014700744
A_PH_Macfadyen2009_plant-herb_B1,50,9,TRUE,51.42199057,-2.680443178
A_PH_Macfadyen2009_plant-herb_B2,12,9,TRUE,51.29187467,-2.602820717
A_PH_Macfadyen2009_plant-herb_B3,43,12,TRUE,51.29747744,-2.406630087
A_PH_Macfadyen2009_plant-herb_B4,22,15,TRUE,51.12720617,-2.327103732
A_PH_Macfadyen2009_plant-herb_B8,38,9,TRUE,51.63909044,-2.176961563
A_PH_Macfadyen2009_plant-herb_B9,24,6,TRUE,51.68549314,-2.014700133
A_PH_Novotny2005,8,6,TRUE,-5.470418199,145.3149871
A_PH_Novotny2012,38,544,TRUE,-5.310274428,145.7024657
A_PH_Pearse2013,889,748,TRUE,48.53791275,9.041057454
A_PH_site01_period01_Martins,6,20,TRUE,-22.18343602,-47.89063724
A_PH_site03_period01_Martins,7,18,TRUE,-22.18343602,-47.89063724
A_PH_site04_period01_Martins,9,21,TRUE,-22.18343602,-47.89063724
A_PH_site05_period01_Martins,9,30,TRUE,-22.18343602,-47.89063724
A_PH_site06_period01_Martins,6,25,TRUE,-22.18343602,-47.89063724
A_PH_site07_period01_Martins,5,16,TRUE,-22.18343602,-47.89063724
A_PH_site08_period01_Martins,7,26,TRUE,-22.18343602,-47.89063724
A_PH_site09_period01_Martins,5,13,TRUE,-22.18343602,-47.89063724
A_PH_site10_period01_Martins,8,26,TRUE,-22.18343602,-47.89063724
A_PH_Stary2008,29,13,TRUE,49.53339451,14.93031833
A_PH_Tavakilian1997,254,302,TRUE,5.070321336,-53.05134875
A_PH_Ueckert,43,14,TRUE,33.019473,-101.4906469
M_AP_Bluthgen2004,41,51,TRUE,-16.10973179,145.4508481
M_AP_Fonseca1996,19,10,TRUE,-2.397283432,-59.71699277
M_AP_Passmore2012-2107-FF,13,6,TRUE,-2.488675723,-59.99931336
M_AP_Passmore2012-2108-FF,11,5,TRUE,-2.488675723,-59.99931336
M_AP_Passmore2012-Camp41-CF,12,5,TRUE,-2.488675723,-59.99931336
M_AP_Passmore2012-Colosso-FF,9,7,TRUE,-2.488675723,-59.99931336
M_AP_Passmore2012-Dimona-CF,18,11,TRUE,-2.488675723,-59.99931336
M_AP_Passmore2012-Florestal-CF,7,6,TRUE,-2.488675723,-59.99931336
M_AP_Passmore2012-PortoAlegre-CF,17,9,TRUE,-2.488675723,-59.99931336
M_AP_Passmore2012-PortoAlegre-FF,12,7,TRUE,-2.488675723,-59.99931336
M_PL_Abreu,14,8,TRUE,-20.75,-42.91978512
M_PL_Arizmendi,21,5,TRUE,20.8653619,-104.9233337
M_PL_Arroyo1982-1,97,80,TRUE,-33.27879012,-70.26623281
M_PL_Arroyo1982-2,62,41,TRUE,-33.27879012,-70.26623281
M_PL_Arroyo1982-3,25,36,TRUE,-33.27879012,-70.26623281
M_PL_Barrett1987,101,11,TRUE,46.56469505,-66.0499722
M_PL_Bartomeus,31,80,TRUE,42.2973,3.314357945
M_PL_Bezerra2009,13,13,TRUE,-8.505,-37.15913117
M_PL_Brosi2017_Back_of_Baldy_Bend_2014_Control,11,16,TRUE,38.9584329,-106.9883488
M_PL_Brosi2017_Back_of_Baldy_Bend_2014_Manipulation,8,9,TRUE,38.9584329,-106.9883488
M_PL_Brosi2017_Belleview_Bench_2013_Control,13,13,TRUE,38.9584329,-106.9883488
M_PL_Brosi2017_Belleview_Bench_2013_Manipulation,9,9,TRUE,38.9584329,-106.9883488
M_PL_Brosi2017_Brush_Creek_Sign_2014_Control,8,15,TRUE,38.9584329,-106.9883488
M_PL_Brosi2017_Brush_Creek_Sign_2014_Manipulation,7,17,TRUE,38.9584329,-106.9883488
M_PL_Brosi2017_Brush_Creek_Steep_2013_Control,9,8,TRUE,38.9584329,-106.9883488
M_PL_Brosi2017_Brush_Creek_Steep_2013_Manipulation,9,11,TRUE,38.9584329,-106.9883488
M_PL_Brosi2017_Cold_Springs_Ranch_2014_Control,7,17,TRUE,38.9584329,-106.9883488
M_PL_Brosi2017_Cold_Springs_Ranch_2014_Manipulation,6,16,TRUE,38.9584329,-106.9883488
M_PL_Brosi2017_Gothic_CG_2014_Control,10,13,TRUE,38.9584329,-106.9883488
M_PL_Brosi2017_Gothic_CG_2014_Manipulation,10,14,TRUE,38.9584329,-106.9883488
M_PL_Brosi2017_Gothic_Road_2013_Control,9,15,TRUE,38.9584329,-106.9883488
M_PL_Brosi2017_Gothic_Road_2013_Manipulation,11,12,TRUE,38.9584329,-106.9883488
M_PL_Brosi2017_Gothic_Road_Grate_2014_Control,7,19,TRUE,38.9584329,-106.9883488
M_PL_Brosi2017_Gothic_Road_Grate_2014_Manipulation,8,14,TRUE,38.9584329,-106.9883488
M_PL_Brosi2017_Gothic_Road_Steep_2013_Control,9,14,TRUE,38.9584329,-106.9883488
M_PL_Brosi2017_Gothic_Road_Steep_2013_Manipulation,7,11,TRUE,38.9584329,-106.9883488
M_PL_Brosi2017_Gothic_Road_Steep_2014_Control,11,14,TRUE,38.9584329,-106.9883488
M_PL_Brosi2017_Gothic_Road_Steep_2014_Manipulation,9,14,TRUE,38.9584329,-106.9883488
M_PL_Brosi2017_Gothic_Town_2014_Control,9,17,TRUE,38.9584329,-106.9883488
M_PL_Brosi2017_Gothic_Town_2014_Manipulation,8,14,TRUE,38.9584329,-106.9883488
M_PL_Brosi2017_Judd_Falls_TH_2013_Control,11,13,TRUE,38.9584329,-106.9883488
M_PL_Brosi2017_Judd_Falls_TH_2013_Manipulation,10,10,TRUE,38.9584329,-106.9883488
M_PL_Brosi2017_Judd_Falls_TH_2014_Control,9,11,TRUE,38.9584329,-106.9883488
M_PL_Brosi2017_Judd_Falls_TH_2014_Manipulation,7,14,TRUE,38.9584329,-106.9883488
M_PL_Brosi2017_Past_Rustlers_2013_Control,8,10,TRUE,38.9584329,-106.9883488
M_PL_Brosi2017_Past_Rustlers_2013_Manipulation,8,14,TRUE,38.9584329,-106.9883488
M_PL_Brosi2017_Rustlers_2013_Control,8,14,TRUE,38.9584329,-106.9883488
M_PL_Brosi2017_Rustlers_2013_Manipulation,7,14,TRUE,38.9584329,-106.9883488
M_PL_Burkle2013,24,54,TRUE,39.28081826,-89.87915303
M_PL_CaraDonna_rmbl_interaction_networks_data_EDI,93,46,TRUE,38.958333,-106.988333
