"","AI22_node_2392","AI22_node_20","AI22_node_115","AI22_node_171","AI22_node_2276","AI22_node_2330","AI22_node_2502","AI22_node_3149","AI22_node_636","AI22_node_849","AI22_node_1218","AI22_node_1729","AI22_node_2207","AI22_node_2794","AI22_node_2967","AI22_node_3106","AI22_node_3133","AI22_node_3115","AI22_node_3129","AI22_node_3140","AI22_node_3351","AI22_node_635","AI22_node_1811","AI22_node_3116","AI22_node_3119","AI22_node_3143","AI22_node_2475","AI22_node_2359","AI22_node_861","AI22_node_1127","AI22_node_3131","AI22_node_3148","AI22_node_1103","AI22_node_3118","AI22_node_300","AI22_node_409","AI22_node_411","AI22_node_661","AI22_node_3128","AI22_node_329","AI22_node_138","AI22_node_1314","AI22_node_2158","AI22_node_2383","AI22_node_2446","AI22_node_2466","AI22_node_2468","AI22_node_2509","AI22_node_3172","AI22_node_3184","AI22_node_263","AI22_node_2786","AI22_node_841","AI22_node_237","AI22_node_254","AI22_node_278","AI22_node_328","AI22_node_632","AI22_node_767","AI22_node_863","AI22_node_865","AI22_node_1041","AI22_node_1126","AI22_node_1222","AI22_node_1452","AI22_node_1530","AI22_node_2332","AI22_node_2709","AI22_node_3188","AI22_node_3353","AI22_node_633","AI22_node_859","AI22_node_1777"
"AI22_node_12",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"AI22_node_121",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AI22_node_384",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AI22_node_839",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AI22_node_1026",1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AI22_node_1027",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AI22_node_1608",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AI22_node_1670",1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AI22_node_1699",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AI22_node_1835",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
