"","P22_node_11185","P22_node_5314","P22_node_10635","P22_node_5363","P22_node_11396","P22_node_11290","P22_node_5364","P22_node_5368","P22_node_5374","P22_node_5375","P22_node_5377","P22_node_9600","P22_node_5237","P22_node_11397","P22_node_5504","P22_node_5198"
"P22_node_2489",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"P22_node_2480",1,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1
"P22_node_231",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_169",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_2495",0,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0
"P22_node_2461",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"P22_node_2499",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_159",1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
"P22_node_705",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_2479",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"P22_node_2471",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_2490",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"P22_node_150",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
