"","M22_node_737","M22_node_2216","M22_node_2217","M22_node_2222","M22_node_2393","M22_node_2403","M22_node_364","M22_node_582","M22_node_620","M22_node_804","M22_node_1418","M22_node_1697","M22_node_2219","M22_node_2223","M22_node_1619","M22_node_2218"
"M22_node_114",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_549",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_609",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"M22_node_812",1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1
"M22_node_857",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_956",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_1154",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_1157",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_1489",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"M22_node_1542",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_1540",1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"M22_node_1731",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"M22_node_1779",1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1
"M22_node_1992",1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0
"M22_node_2016",0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"M22_node_2022",1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0
"M22_node_2036",1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,0
"M22_node_2043",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_2061",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_2137",1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"M22_node_2149",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"M22_node_2447",1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0
"M22_node_2470",1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0
