"","D21_node_1150","D21_node_682","D21_node_1329","D21_node_68","D21_node_1046","D21_node_507","D21_node_1039","D21_node_797","D21_node_87","D21_node_92","D21_node_502"
"D21_node_738",0,0,0,0,1,0,0,0,0,0,0
"D21_node_22",1,0,1,0,0,0,0,0,0,1,0
"D21_node_28",1,0,0,1,1,0,0,0,0,0,0
"D21_node_32",0,0,0,0,0,0,0,0,0,0,0
"D21_node_151",0,0,0,0,0,0,0,0,0,0,0
"D21_node_937",1,0,1,0,0,1,0,0,0,0,0
"D21_node_246",1,0,0,0,0,0,0,0,0,0,0
"D21_node_923",1,0,0,0,0,0,0,0,0,0,0
"D21_node_930",1,0,0,0,0,0,0,0,0,0,0
"D21_node_935",1,0,0,0,0,0,0,0,0,0,0
"D21_node_1144",1,0,0,0,0,0,0,0,0,0,0
"D21_node_1146",1,0,0,0,0,0,0,0,0,0,0
"D21_node_1147",1,0,1,0,1,0,0,0,1,0,0
"D21_node_1345",0,0,0,0,0,0,0,0,0,0,0
"D21_node_1346",0,0,0,0,0,0,0,0,0,0,0
"D21_node_1356",0,0,1,0,0,0,0,0,0,0,0
"D21_node_1405",1,0,0,0,0,0,0,0,0,0,0
"D21_node_1407",1,0,1,0,1,0,0,0,0,0,0
"D21_node_1408",1,0,0,0,0,0,0,0,0,0,0
"D21_node_1415",1,0,0,0,1,0,0,0,0,0,0
"D21_node_1417",0,0,0,0,0,0,0,0,0,0,0
"D21_node_1418",1,0,1,0,1,0,0,0,1,0,0
"D21_node_1419",1,0,1,0,0,0,0,0,0,0,0
"D21_node_194",1,0,1,1,0,0,1,0,0,0,0
"D21_node_392",1,0,0,0,0,0,0,0,0,0,0
"D21_node_413",0,0,0,0,0,0,0,0,0,0,0
"D21_node_491",1,0,0,0,0,0,0,0,0,0,0
"D21_node_907",1,0,0,0,0,1,0,0,0,0,0
"D21_node_908",0,0,0,0,0,0,0,0,0,0,0
"D21_node_910",1,0,1,0,0,0,0,0,0,0,0
"D21_node_614",0,0,0,0,0,0,0,0,0,0,0
"D21_node_644",1,0,1,0,1,0,0,1,0,0,0
"D21_node_620",1,1,1,0,1,0,0,1,0,1,0
"D21_node_273",0,1,0,0,1,0,0,0,0,0,0
"D21_node_1111",1,0,0,0,0,0,0,0,0,0,0
"D21_node_1230",1,1,1,1,1,0,1,1,0,0,0
"D21_node_860",1,0,0,0,0,0,0,0,0,0,0
"D21_node_834",1,0,0,1,0,0,0,0,0,0,0
"D21_node_1126",1,0,1,0,0,0,0,0,0,0,0
"D21_node_1125",1,0,1,0,0,0,0,0,0,0,0
