"","M22_node_2406","M22_node_2281","M22_node_2395","M22_node_296","M22_node_380","M22_node_2455","M22_node_1765","M22_node_699","M22_node_777","M22_node_2113","M22_node_778","M22_node_585","M22_node_707","M22_node_2314","M22_node_127","M22_node_1774","M22_node_2435","M22_node_2236"
"M22_node_48",1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"M22_node_1706",1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0
"M22_node_2003",1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0
"M22_node_1531",1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"M22_node_23",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_2490",1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"M22_node_1915",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_412",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_1760",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_2433",1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"M22_node_112",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"M22_node_577",1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
"M22_node_1632",1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"M22_node_2161",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_1475",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"M22_node_1711",1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"M22_node_1406",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_1466",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_1124",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_348",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_355",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_345",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_2160",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_1753",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_1123",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
