"","TI_HERB_5375","TI_HERB_5376","TI_HERB_5377","TI_HERB_5378","TI_HERB_5379","TI_HERB_5380","TI_HERB_5381","TI_HERB_5382","TI_HERB_5383","TI_HERB_5384","TI_HERB_5385","TI_HERB_5386","TI_HERB_5387","TI_HERB_5388","TI_HERB_5389","TI_HERB_5390"
"TI_PLANT_4902",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4903",0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0
"TI_PLANT_4904",0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1
"TI_PLANT_4905",0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
"TI_PLANT_4906",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4907",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"TI_PLANT_4908",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"TI_PLANT_4909",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4910",0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"TI_PLANT_4911",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
