"","WOL_node_2347","WOL_node_7019","WOL_node_5175","WOL_node_10227","WOL_node_2966","WOL_node_6334","WOL_node_7207","WOL_node_10696","WOL_node_12718","WOL_node_2976","WOL_node_6838","WOL_node_12722","WOL_node_8862","WOL_node_12329","WOL_node_2420","WOL_node_5316"
"WOL_node_4736",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"WOL_node_1727",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_1688",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_1700",1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0
"WOL_node_1706",0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
"WOL_node_1710",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_10474",0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"WOL_node_723",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_6684",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_6810",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_4722",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_4728",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_12773",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_4471",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_4697",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_11209",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_7283",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_7507",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_1031",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_620",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"WOL_node_931",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_2409",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_2663",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_4619",0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
"WOL_node_15467",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_9164",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_2029",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_5887",1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"WOL_node_7724",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"WOL_node_7772",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_9944",1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0
"WOL_node_11725",1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"WOL_node_12179",1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0
"WOL_node_7232",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_10087",0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"WOL_node_11101",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
