"","D21_node_557","D21_node_1051","D21_node_1041","D21_node_1046","D21_node_238","D21_node_1335","D21_node_508","D21_node_1328","D21_node_87","D21_node_317","D21_node_68","D21_node_1038","D21_node_305","D21_node_311","D21_node_656"
"D21_node_18",1,0,0,0,1,0,0,1,0,1,1,1,1,0,0
"D21_node_206",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"D21_node_374",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_389",1,1,1,1,0,0,0,1,0,0,1,0,0,0,0
"D21_node_392",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_404",0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
"D21_node_485",1,1,1,0,0,1,1,1,1,1,1,0,1,1,1
"D21_node_548",1,0,1,0,0,1,0,1,0,0,1,0,0,0,0
"D21_node_572",1,1,0,0,0,1,0,0,0,1,1,0,0,0,0
"D21_node_571",1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
"D21_node_625",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_637",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"D21_node_645",1,1,0,0,0,1,0,0,0,0,1,0,0,0,0
"D21_node_696",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"D21_node_980",0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
"D21_node_973",1,1,1,0,1,1,0,1,0,0,1,1,0,0,1
"D21_node_998",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_976",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"D21_node_1009",1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
"D21_node_1014",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"D21_node_1019",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_1110",1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"D21_node_1143",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_1214",0,1,1,0,0,1,0,1,0,1,0,0,0,0,0
"D21_node_1216",1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
"D21_node_39",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"D21_node_1311",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"D21_node_1320",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"D21_node_554",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
