"","mangal_node_0528","mangal_node_0533","mangal_node_0525","mangal_node_0526","mangal_node_0527","mangal_node_0529","mangal_node_0530","mangal_node_0531","mangal_node_0532","mangal_node_0534"
"mangal_node_0443",0,0,0,0,0,0,0,0,1,0
"mangal_node_0543",1,1,1,0,1,0,0,0,1,1
"mangal_node_0535",1,0,0,0,1,0,0,1,1,0
"mangal_node_0536",0,0,0,0,0,0,0,0,0,0
"mangal_node_0537",0,1,0,0,0,0,1,1,1,1
"mangal_node_0538",0,1,0,0,1,0,0,1,0,0
"mangal_node_0434",0,1,0,0,0,0,0,1,0,1
"mangal_node_0539",1,1,1,0,0,0,1,1,1,1
"mangal_node_0540",1,1,1,0,1,1,0,1,0,1
"mangal_node_0541",0,1,0,0,0,0,0,1,0,1
"mangal_node_0542",0,1,0,0,1,0,0,0,0,0
"mangal_node_0090",1,1,1,0,1,1,1,1,0,1
"mangal_node_0544",0,1,0,0,1,0,1,0,1,0
"mangal_node_0545",0,0,0,0,0,0,0,1,0,0
"mangal_node_0546",0,0,0,0,0,0,0,1,0,0
"mangal_node_0547",1,1,0,0,0,0,0,0,0,1
"mangal_node_0548",0,1,0,0,0,0,0,0,0,0
"mangal_node_0549",0,0,0,0,0,0,0,0,0,1
"mangal_node_0550",0,1,0,0,1,0,0,0,1,0
"mangal_node_0551",1,1,0,0,0,0,0,0,0,1
"mangal_node_0552",0,0,0,0,0,0,0,1,1,0
"mangal_node_0553",0,0,0,0,0,0,0,1,1,0
"mangal_node_0554",1,1,1,1,0,0,1,1,1,1
"mangal_node_0555",0,0,0,0,0,0,0,1,1,0
"mangal_node_0556",1,1,1,1,0,0,1,1,1,0
"mangal_node_0557",0,0,1,0,1,0,1,1,1,0
"mangal_node_0558",0,0,0,1,0,0,0,1,1,0
