"","P22_node_5802","P22_node_9125","P22_node_9881","P22_node_5354","P22_node_8992","P22_node_8993","P22_node_12899","P22_node_8783","P22_node_6964","P22_node_5771","P22_node_6966","P22_node_8785","P22_node_8786","P22_node_7085","P22_node_8997","P22_node_8999","P22_node_12033","P22_node_13068","P22_node_12059","P22_node_13073","P22_node_9126","P22_node_9204","P22_node_5198"
"P22_node_628",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_3347",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_609",1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"P22_node_1355",1,0,1,0,1,1,1,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,1
"P22_node_608",1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"P22_node_1317",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_1380",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
"P22_node_612",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_614",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"P22_node_3313",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"P22_node_3298",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_622",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_1348",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"P22_node_3358",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_948",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
