"","P22_node_12927","P22_node_8875","P22_node_8587","P22_node_12951","P22_node_5915","P22_node_12527","P22_node_12030","P22_node_12941","P22_node_5354","P22_node_12952","P22_node_12953","P22_node_12954","P22_node_12955","P22_node_12956","P22_node_12944","P22_node_5776","P22_node_10197","P22_node_8830","P22_node_5859","P22_node_12957","P22_node_10163","P22_node_11009","P22_node_12946","P22_node_8848","P22_node_8849","P22_node_10672","P22_node_12958","P22_node_5853","P22_node_9172","P22_node_12933","P22_node_12959","P22_node_11200","P22_node_12935","P22_node_8887","P22_node_10152","P22_node_12936","P22_node_7021","P22_node_5295","P22_node_12938","P22_node_12940"
"P22_node_3250",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
"P22_node_2097",1,1,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0
"P22_node_3168",1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0
"P22_node_3246",1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1
"P22_node_3245",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"P22_node_3251",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0
"P22_node_3247",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_3252",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_3249",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"P22_node_3253",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
