"","M22_node_1","M22_node_28","M22_node_43","M22_node_572","M22_node_884","M22_node_1441","M22_node_1614","M22_node_1739","M22_node_1840","M22_node_1910","M22_node_2099","M22_node_2121","M22_node_2187","M22_node_592","M22_node_2392","M22_node_2424","M22_node_2519","M22_node_2290","M22_node_1117","M22_node_880","M22_node_2366","M22_node_1403","M22_node_639"
"M22_node_519",1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1
"M22_node_382",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_795",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_1047",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"M22_node_1485",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"M22_node_1778",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"M22_node_1790",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"M22_node_2007",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_2225",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_2338",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
